CD1C	CD2C	CD3C	CD4C	CD1G	CD2G	CD3G	CD4G
139.815483	340.277782	138.400712	360.969295	205.985816	290.844702	230.910233	325.388788
231.841658	273.494157	171.012365	230.508535	192.841295	240.505596	188.781078	242.890461
215.087124	268.859399	231.311367	323.729357	154.484505	276.814928	238.567249	253.654658
191.094477	299.518819	144.072465	309.997976	106.5825	364.550163	245.214224	264.134099
135.895045	283.568091	144.00945	181.538577	238.698997	183.483365	209.668758	249.84523
204.761386	313.057685	256.836422	305.566358	192.934316	299.43	158.666973	252.532421
191.062947	291.524603	298.154372	268.486709	143.073352	210.11	219.888119	294.155311
280.338524	299.974575	191.786089	399.934644	152.75679	211.72	202.263013	265.255178
202.770718	318.586785	171.052776	282.516478	124.928615	153.04	185.004364	213.053847
175.285907	327.937017	226.305666	263.347954	59.514122	200.09	257.15072	315.669658
275.617793	259.976097	296.927894	235.916426	214.4221	196.138423	237.60023	275.81595
150.35751	210.370479	229.219497	311.23457	231.695484	356.533284	229.009102	303.73903
174.537165	265.546482	258.766762	217.971169	129.980208	224.497372	210.60106	223.10441
187.017041	201.029512	190.939975	232.252797	208.143172	212.443941	225.371012	294.744105
244.627409	209.599733	252.986342	297.124884	247.272825	287.458442	278.866676	383.104593
171.550619	285.302479	263.197039	243.655585	127.457004	239.520106	251.000478	290.211067
230.887324	178.242357	254.300046	241.089297	154.693502	337.467571	166.159132	191.469273
209.3237	229.689111	254.390069	251.385719	155.221224	514.93257	305.732636	310.463619
220.880528	226.429812	214.235855	322.804746	207.163857	320.949491	274.096634	328.336099
176.656842	248.569193	219.033939	371.784765	114.394624	276.596268	244.166225	231.146446
163.479268	248.064672	292.692325	266.059123	234.839322	234.214403	111.309054	242.843503
210.394905	212.480806	171.229021	212.893282	114.372586	280.37129	229.638181	326.045012
112.945523	235.573	198.801145	404.500322	235.801316	295.34663	169.010097	267.797638
196.690261	252.474371	268.982179	223.927869	233.860818	213	153.961233	341.929824
131.145993	230.751312	267.845848	225.009012	185.455477	234.017238	229.729013	205.553084
130.047444	246.080237	228.545798	274.383661	163.139153	238.225794	191.936534	408.505933
155.592006	243.725923	216.845087	441.765756	214.892989	231.894033	267.836749	206.948924
187.38489	275.535113	254.904126	284.154944	182.514118	267.083105	228.23949	215.803964
153.868875	410.769566	255.563549	358.756117	182.514118	258.708828	254.641146	220.456429
109.919088	236.477103	251.294971	274.835836	207.953234	208.552171	237.586671	349.707708
140.270946	241.005213	212.39576	256.945309	163.926514	252.385422	216.230184	353.819147
105.213011	220.762145	245.828102	268.863469	231.689374	214.548505	177.865616	285.172778
210.202193	238.262909	183.234978	307.363335	96.802798	306.030702	259.718994	337.366049
150.605935	286.26442	146.345357	225.653965	94.522502	333.746197	216.441862	256.103232
106.278738	320.282824	194.81397	308.243516	109.177277	331.440969	182.51536	297.828926
182.183263	285.489415	210.139796	205.880391	71.942278	245.4254	187.339129	241.370959
156.020082	175.855351	247.567184	308.16157	140.068058	204.985701	215.031922	369.530232
186.448315	206.705196	252.73565	241.153078	137.568806	207.47217	307.975708	260.615676
145.659658	283.341541	201.279396	238.913696	106.081622	335.733606	339.696315	400.245526
208.062886	185.739663	230.667737	293.958721	101.770664	292.473246	284.125044	246.232902
	388.240018		338.28895				282.472817
	447.378911		485.633919				250.393816
	284.340431		404.255949				300.816789
	143		374.166758				202.73048
	466.804864		368.022871				225.473447
	246.709406		347.924859				223.485018
	261.18061		227.893795				246.757613
	226.132592		309.615693				246.799093
	224.777916		409.96884				223.108374
	397.440836		293.399407				229.91915
