CD1C	CD2C	CD3C	CD4C	CD1G	CD2G	CD3G	CD4G
159.991287	272.178423	278.945035	356.40199	249.042687	342.385597	312.315481	278.39024
187.589978	244.824897	221.946287	277.67866	206.456777	282.872756	244.271757	236.811894
182.553359	325.862725	136.363486	193.712802	165.447273	267.154597	152	209.74843
188.368639	299.845931	205.377041	133.678976	241.468208	270.088404	153.757251	260.456823
168.341882	238.681826	267.804842	335.059295	205.037624	342.348435	230.746652	226.90635
143.364139	241.791521	300.518138	342.768006	157.227832	370.556298	179.364683	210.701837
142.525375	248.682156	254.108765	342.321572	292.210292	297.827993	225.539402	183.791403
170.340711	271.795079	249.054979	326.62672	196.531721	219.979949	212.546009	219.056091
189.212139	305.339444	234.375564	119.931134	208.886965	355.438546	251.990968	249.650235
203.878984	291.193749	230.605087	380.190432	214.839374	210.522594	253.540721	284.768809
430.293226	204.551256	276.514846	323.16357	208.460478	270.501977	258.390964	335.815948
262.627583	204.551256	281.58681	265.488438	198.862786	283.921862	292.346295	326.242432
204.489809	192.324481	244.816504	277.920868	207.969482	245.614457	206.849012	313.421103
258.647389	201.918372	170.974267	263.835262	161.559629	282.781252	245.464033	468.907424
260.085857	257.542918	265.343827	329.089579	241.775647	290.094269	390.608183	262.258924
232.989303	191.581982	269.878791	350.002103	118.869322	230.045443	222.125222	268.825237
220.306238	251.269346	262.931092	316.346434	193.748719	266.869706	260.067832	366.359846
186.833105	277.236303	253.274637	188.103788	180.045583	189.038292	278.586471	181.748505
199.850098	271.714632	202.095251	330.649855	229.9038	268.24869	270.264319	358.726864
177.493073	345.842555	251.888885	318.123201	188.745917	328.337511	210.905203	372.321596
193.492382	177.505733	310.354096	332.88433	302.277676	178.746364	308.070338	294.329206
246.648035	257	285.71372	198.296919	257.301206	281.847241	265.980551	322.611032
205.410481	243.02165	265.229772	346.068461	298.248567	219.147507	216.593604	272.034118
171.800821	282.730088	233.209162	410.665165	397.037297	224.531749	253.136669	290.074223
210.771796	240.909044	287.617708	233.866071	202.934714	288.554692	301.192591	202.992297
215.08914	243.053377	231.088365	390.550801	307.800652	226.868102	211.15062	268.927121
238.739947	231.031163	233.590392	337.950683	268.447954	280.8953	182.583517	229.940864
315.543004	240.572823	271.846469	236.991309	312.05555	282.55208	221.536209	318.658702
232.323289	173.833554	334.352744	251.859834	275.572821	237.525437	350.952524	257.928045
164.053071	240.403699	167.890181	344.654575	419.19303	215.190205	210.3259	201.399033
201.132762	237.056441	262.198403	308.757346	142.265692	310.223231	160.75645	322.808966
222.367743	248.474193	350.208235	219.622059	232.394417	338.438591	140.571832	292.718271
207.965447	180.1865	324.215757	282.558355	192.863892	408.394161	147.150109	249.003785
221.835956	305.042521	355.621075	214.665442	216.739324	237.015444	195.68638	275.691481
214.796048	252.764865	332.071222	255.345711	167.095791	304.618229	172.86604	233.775012
154.607288	270.768298	248.855404	275.653336	155.63498	285.3854	203.306974	235.918483
200.308335	229.101948	227.596864	299.39244	156.56525	313.080561	237.452506	251.10904
202.163726	282.664016	204.325481	197.333735	166.142939	307.304999	214.882821	127.120452
195.647647	325.321528	285.918998	302.624026	228.154307	258.360462	195.60462	320.017645
291.142613	264.770564	253.457653	304.58198	147.874475	273.97722	190.720123	335.712892
	219.257817		239.072522				370.032333
	284.703015		206.574357				265.029779
	319.574		330.374281				361.664059
	264.804551		332.57616				365.293533
	383.434632		300.03167				305.561801
	333.455319		346.248036				331.094659
	255.707517		349.64819				440.923402
	281.233774		302.087791				388.408215
	434.989081		188.737325				243.340298
	378.416569		200.127946				335.122069
