VCR1C	VCR2C	VCR3C	VCR4C	VCR1G	VCR2G	VCR3G	VCR4G
2.992316917	0.813930482	1.203021376	0.84830694	1.592771261	1.357332117	1.346832485	1.493094369
2.957014127	1.359891725	1.49752941	0.801155588	1.796100654	1.357618847	2.203639445	1.320905406
2.05091626	1.201748435	1.4511269	0.957101194	2.270916407	0.999618543	1.638600741	1.193170255
2.628291706	0.873036696	1.284819358	0.818128787	4.445786851	0.699582233	0.995261629	1.401196371
4.043738916	1.528558335	2.931278815	1.385267931	1.784909792	1.053845999	1.498050916	1.404895847
2.793985669	1.511509478	0.880252015	0.711520118	1.753209331	0.911064356	2.662390269	1.210080594
1.747107669	1.502158135	0.586504024	1.009515287	3.228574473	0.993955547	1.512052563	1.180333477
1.399555218	1.591816256	1.64417609	0.938963232	1.45176111	1.096731532	1.450625493	1.515463299
2.207601844	1.346906583	1.495342782	0.557057677	4.040553103	2.082070047	1.048298342	2.23181281
3.680273132	1.050739167	1.409577942	1.223035984	3.012119325	1.329651657	1.394842997	1.337026909
1.881786903	1.22874908	0.99531073	1.230612815	1.964892206	2.238987401	1.552541393	1.195682882
3.856095801	1.200846165	1.260246051	0.903026993	1.252413038	0.850560092	1.077930802	1.169542811
2.341225847	1.016229671	1.320037764	1.184902009	2.472440427	1.146438222	1.125010876	1.728150622
1.682213093	1.066146228	1.138697839	1.502487645	1.565513646	3.053146886	1.215255474	1.304139677
1.782734019	0.970352896	0.963898668	1.03757203	1.569114572	1.813653999	1.317060569	0.907386174
2.818096867	0.978057008	1.10365663	1.022754496	2.72441276	1.745006618	1.03633868	1.169146403
1.364812293	1.000868475	1.14363942	1.173373117	2.279515936	0.786333742	1.90701066	2.128784706
2.903393065	0.964395774	0.851003181	1.088696176	1.207237671	0.909918631	1.069301054	1.075779484
0.922754277	1.160633296	1.230979259	0.838655916	1.945343178	1.357503767	1.457246746	1.131182624
3.075609101	0.664755809	1.163601304	0.844102168	2.143105414	1.545876469	1.296655571	1.71799649
1.988580112	0.772652016	0.883084833	0.546375882	1.352458699	1.34184773	3.239872221	1.344051642
1.415122434	1.313397512	1.465094407	0.612324968	2.02097458	1.750186241	1.524116571	0.950418855
2.034846702	0.895257118	1.937901339	0.65246884	0.921922191	0.796665945	1.518151664	1.21886075
1.053977533	0.830102676	0.85456538	1.071072726	1.347694615	1.178403756	2.174333249	1.074646139
2.402624905	1.158376872	0.967985074	0.895664286	1.647818382	1.098821917	1.114284154	1.648328268
1.715581184	1.438940596	1.454443507	0.662809474	2.396588463	0.993543231	1.839194538	0.89531788
1.787194395	1.071399397	1.12688626	0.579786904	1.334301953	1.16055815	1.123027774	2.026377914
1.125033187	0.626517162	0.764490364	0.674042413	1.336889697	0.921138359	1.1561849	1.278954755
0.829944243	0.747305551	1.155624776	0.379339232	1.751838365	0.931978653	1.228467838	1.42267015
1.864499458	0.896840478	1.24144782	0.45612193	1.610404924	1.124264475	1.534026928	0.752404322
2.35983416	0.848924928	0.991058588	0.577248639	2.743093835	1.470129372	1.739719308	1.118135305
2.081912825	1.053241189	1.00480212	1.44502591	1.275481248	1.501231304	1.811936232	1.619902542
1.127766945	1.276591679	1.401323567	1.047467168	1.628429738	1.004624712	1.303282416	1.227466291
1.210591482	1.314853889	1.612785317	1.11738552	4.449655078	0.974804582	2.261805279	1.138291734
2.497411053	1.302759607	1.301697419	0.522803046	3.514171662	0.692422698	1.786008975	1.156326683
1.567537546	0.643528549	0.83161682	1.066706465	3.512968216	1.034869419	2.342984129	1.621830951
1.261034442	1.645286927	0.87924503	1.119127492	2.91584324	0.978864379	1.262308203	1.033467156
1.039712705	2.042959917	0.839561795	0.792046486	3.448129237	1.105877902	1.146318427	0.94144028
1.433685283	1.121674778	1.59984089	1.060199868	3.653864569	0.658643749	0.899479492	0.972320942
0.862432135	1.924882345	0.939628198	1.015841374	4.679336562	0.940287998	1.730087433	1.30118116
	0.824501623		1.165011328				1.188374129
	0.677689541		0.395597137				1.481694628
	1.24217749		0.58272833				0.904129819
	1.833506042		0.396665371				1.880676295
	0.562534863		0.847146706				1.761569202
	0.591180269		0.824814599				1.707953824
	1.354468373		1.529175044				1.385642229
	1.017225553		0.955020161				1.047753291
	1.320361054		0.564670737				1.353078491
	0.666787386		0.663132738				1.337717098
