VCR1C	VCR2C	VCR3C	VCR4C	VCR1G	VCR2G	VCR3G	VCR4G
1.299129121	0.91390891	1.482328151	1.054249756	1.476783259	0.875080899	1.193972636	1.246920916
1.893862651	1.160557135	1.166594366	0.72962685	1.379310484	0.716695895	1.67848333	1.406798761
1.185295199	0.826534422	1.737276414	1.946107465	2.473569093	1.0118756	3.84610325	1.09373714
2.009945764	1.033454388	1.702230752	2.611427776	1.404826067	1.399314089	3.07703093	1.565944149
1.413733797	0.900358618	1.78001711	1.049008528	2.291036273	0.760480848	1.703495737	1.261509654
2.449947159	0.962812067	1.374002054	0.868785776	1.59384093	0.515251202	2.006162194	0.98439819
1.962074901	1.141438962	1.484908838	1.114931778	1.280753349	0.991581322	2.589534555	1.499922551
1.994873827	1.367478876	1.855060798	1.100297719	2.768459795	1.106166612	2.066432478	1.062539763
1.516576989	1.388164842	0.871579364	2.741935384	1.760812031	0.651186757	1.437344465	0.97793964
1.446967369	1.39895648	1.374332332	0.736743001	1.202606893	1.395285843	1.517873387	0.749851888
1.105745997	1.639841952	1.048705605	0.53842733	1.903351603	0.615669907	2.724763165	1.369222605
1.146307515	1.5568665	1.105902382	0.471861886	1.995971624	0.807588033	2.279027572	1.167977107
1.583279194	1.858118104	0.89192861	0.291135882	1.788223337	0.900669858	3.897404248	1.492504667
0.776820187	1.980175712	1.009866877	0.685679055	2.412800954	1.021610878	2.272249365	0.797342366
1.519852442	1.604636203	0.990120705	0.362192566	2.380818106	0.823239321	1.615482784	1.634062386
2.019520973	1.715425238	0.845719855	0.292193541	2.697545839	0.986469791	2.52950153	0.648449301
0.885342643	1.304475887	1.025751721	0.29254172	0.94371794	0.902016934	2.875574377	0.960542098
2.242700987	1.39230275	0.814164811	0.517971467	2.18376272	0.90752646	2.005796028	1.993906052
2.199280498	0.865210251	1.250836057	0.403383749	1.551307386	1.175922384	2.316443555	0.955529288
2.181310794	1.333933365	1.037919696	0.258273932	1.234395285	0.817834694	2.837336095	1.693055455
1.270476483	1.396877508	0.834609175	0.786843247	1.954247025	1.760315085	1.761075664	0.923958651
0.624742119	1.241513327	1.130578388	0.687722304	2.368838364	0.89816529	2.066998072	0.670457128
0.934269026	1.608854705	0.640614173	0.536513467	1.511380915	1.451927902	2.042760372	1.279355503
1.014355118	0.91237239	1.925037855	0.484430088	1.094097573	1.370440507	1.732891097	0.688571738
0.863064615	1.420463638	1.251038052	0.925656766	2.305016509	1.155795464	1.573281741	1.59681076
1.059744383	1.356454076	1.55129403	0.658979181	1.996423403	1.183843509	2.931452775	1.266787852
0.929349968	1.343861001	1.186596712	1.047365618	2.151703686	1.059897684	2.502142699	1.819866529
0.696732823	1.240664441	0.957229693	0.750323827	1.208898031	0.764460839	1.880969007	1.091658263
0.77497878	2.11496296	0.848235644	0.979089588	1.673359039	1.178534803	1.430124777	1.117593824
1.446253835	1.175825186	2.064590567	0.590857319	1.208074462	1.662745398	2.445238694	1.702719273
1.739216956	1.126743475	1.518169846	0.657683908	1.270221734	0.856819095	3.501824847	0.961837089
1.353011462	1.110877648	0.837057178	1.773056695	1.048851182	0.749637765	3.180769907	1.122454597
2.405448295	2.206382737	0.832171152	1.042331698	1.840925086	0.738387369	3.722898275	1.43422215
2.558275571	0.663180154	0.761475894	1.131912742	1.549680366	0.910606116	2.083142664	1.142269304
1.931284867	0.965452481	0.83173921	0.944569627	1.883361317	1.252657818	3.1903508	1.177377311
1.171717849	0.685571658	1.35637343	0.736788798	2.369054238	1.058861515	2.417690271	1.415456033
1.553870097	0.945316663	1.054631289	0.47559399	1.051041869	0.838756252	1.587188568	1.00686593
2.004809953	0.732076742	0.862535143	1.089025888	2.133578352	1.19673817	2.502655799	2.507391313
2.462245871	1.220506606	0.995424519	0.801673007	2.524147041	1.377843565	2.350527534	0.986940551
1.142916108	1.260705034	0.873958247	0.974540224	1.638678501	1.293798765	2.688196258	0.804753572
	1.576198079		0.575929358				1.113647563
	1.667293179		0.612334052				1.294965027
	1.202219595		0.680227212				1.564828005
	1.30852702		0.5943602				0.860619331
	0.856502662		0.645420678				1.469646617
	0.950641171		0.460874083				1.43534923
	1.16256079		0.743640998				1.054559241
	1.098233945		0.449154931				1.116265265
	0.532086616		0.620369866				1.436824718
	0.816903474		0.882485922				1.331139054
