VH1C	VH2C	VH3C	VH4C	VH1G	VH2G	VH3G	VH4G
418.372235	276.962459	166.499015	306.212758	328.088288	394.772855	310.997403	485.836167
685.559058	371.922441	256.096046	184.673201	346.362376	326.51493	416.00543	320.835323
441.12568	323.101362	335.662147	309.841754	350.821397	276.709335	390.916471	302.653193
502.252029	261.49092	185.107092	253.618268	473.843077	255.032817	244.052308	370.103741
549.524082	433.450369	422.13185	251.479569	426.056177	193.36321	314.094475	351.006526
572.100378	473.189658	226.080778	217.416611	338.254243	272.8	422.433405	305.584582
333.80754	437.916054	174.868739	271.041437	461.922972	208.84	332.482394	347.201361
392.349244	477.504405	315.330102	375.523926	221.766367	232.2	293.407883	401.984487
447.637011	429.106638	255.782534	157.377973	504.780703	318.64	193.939768	475.496305
645.100014	344.576268	318.995475	322.084024	179.263637	266.05	358.684881	422.058827
518.653953	319.44539	295.535519	290.321777	421.316313	439.151458	368.884192	329.78841
579.792963	252.622583	288.872966	281.053218	290.178445	303.252983	246.855965	355.235799
408.630922	269.856214	341.581898	258.274476	321.368321	257.372368	236.928483	385.558025
314.602515	214.326856	217.422937	348.956958	325.850976	648.622557	273.883356	384.387482
436.105604	203.385708	243.853198	308.288469	387.999393	521.350153	367.284303	347.623811
483.446262	279.042089	290.479157	249.199845	347.245488	417.96417	260.121504	339.299225
315.117858	178.397156	290.827557	282.8877	352.626303	265.362138	316.867236	407.59686
607.748979	221.511208	216.486758	273.682671	187.388909	468.546739	326.92023	333.990392
203.818452	262.801979	263.719894	270.72211	403.004796	435.690143	399.426428	371.40809
543.327391	165.237815	254.868177	313.824326	245.159738	427.583662	316.599496	397.108783
325.091621	191.667669	258.472153	145.368288	317.610484	314.280065	360.627112	326.394209
297.73455	279.071762	250.866681	130.359872	231.144089	490.701974	349.995357	309.879327
229.826825	210.898405	385.257005	263.923856	217.390466	235.292602	256.58296	326.40803
207.307116	209.579651	229.862858	239.843033	315.172965	251	334.763028	367.453565
315.094629	267.296983	259.270783	201.532536	305.596944	257.14327	255.983399	338.818959
223.106948	354.094843	332.406952	181.86409	390.977412	236.687625	353.008625	365.742666
278.073161	261.127807	244.359749	256.13	286.732135	269.12651	300.788108	419.356729
210.81422	172.627477	194.871748	191.532484	244.001244	246.020493	263.887052	276.003506
127.702587	306.970377	295.335569	136.09027	319.735234	241.111105	312.818458	313.636781
204.94408	212.082238	311.969594	125.358652	334.888912	234.467797	364.464351	263.121591
331.01617	204.595333	210.496642	148.32133	449.66581	371.039222	376.179826	395.61768
219.044317	232.515784	247.008598	388.514679	295.515452	322.086932	322.281154	461.952108
237.059085	304.164447	256.771493	321.953002	157.636555	307.446006	338.487198	414.105453
182.322262	376.395886	236.023643	252.142473	420.592531	325.337322	489.549346	291.520192
265.421695	417.251526	253.588842	161.150649	383.667693	229.49725	325.974071	344.387534
285.579105	183.720589	174.755789	219.613944	252.730936	253.983241	438.932606	391.462892
196.746697	289.33251	217.672216	344.872085	408.4165	200.653201	271.436559	381.897358
193.852682	422.29043	212.187196	191.004448	474.355022	229.438888	353.038229	245.354095
208.830108	317.81706	322.015008	253.296269	387.60788	221.128841	305.549869	389.167107
179.440119	357.526998	216.74191	298.615431	476.219189	275.009083	491.561168	320.393613
	320.104525		394.110459				335.683388
	303.184009		192.115388				371.007172
	353.201283		235.571394				271.977429
	262.191364		148.418996				381.270408
	262.59401		311.769363				397.18708
	145.849733		286.973503				381.702091
	353.760876		348.489504				341.917769
	230.027851		295.689229				258.584562
	296.788006		231.497407				301.883142
	265.008536		194.562752				307.566778
