VH1C	VH2C	VH3C	VH4C	VH1G	VH2G	VH3G	VH4G
207.84934	248.746286	413.488078	375.736711	367.782071	299.615096	372.896138	347.130613
355.269653	284.133281	258.921288	202.601806	284.767997	202.733743	410.006072	333.146679
216.37962	269.336759	236.901068	376.98593	409.245261	270.327218	584.607694	229.409648
378.610748	309.877093	349.599115	349.092991	339.220833	377.938509	473.115817	407.860838
237.990608	214.899239	476.697201	351.480058	469.748634	260.349428	393.075938	286.244551
351.234565	232.799794	412.912539	297.791968	250.596154	190.929578	359.834646	207.414507
279.645461	283.855502	377.328351	381.665199	374.24931	295.320675	584.042075	275.67287
339.808226	371.674029	462.012128	359.386635	544.090168	243.334475	439.211976	232.755807
286.954776	423.861481	204.276905	328.84342	367.810681	231.456874	362.197823	244.142861
295.006237	407.367382	316.928027	280.10264	258.367312	293.739195	384.842713	213.534429
475.795012	335.431731	289.982669	184.442382	396.773585	166.539927	704.054181	459.806787
301.051972	318.458998	311.407524	184.09292	396.924478	229.291898	666.265267	381.043692
323.76446	357.3616	218.358844	174.960101	371.895881	221.217538	806.174218	467.782459
200.922513	399.833856	172.661249	196.236013	389.811227	288.892403	557.755493	373.879755
395.292125	413.26269	262.722417	231.989433	575.623838	238.817009	631.020795	428.547443
470.526784	328.644567	228.241852	223.806116	320.655445	226.93288	561.866089	174.319537
195.046507	327.774803	269.70202	214.849883	182.844142	240.720994	747.844394	351.904055
419.010789	385.996867	206.207297	166.329044	393.176832	171.557252	558.787637	362.389444
439.526423	235.090285	252.788027	148.907314	356.651463	315.439639	626.05204	342.774025
387.167556	461.330923	261.440435	187.996707	232.98707	268.525808	598.408945	630.361109
245.827521	247.953766	259.024376	261.927787	590.725249	314.649921	542.535175	271.948016
154.091416	319.068925	323.021757	136.373214	609.504968	253.145409	549.781286	216.296866
191.90865	390.986525	169.909951	185.67039	450.767192	318.18638	442.448831	348.028346
174.267042	257.955126	448.936465	198.938562	434.397543	307.707404	438.65828	199.736912
181.909679	342.202537	359.820697	216.479711	467.767866	333.510204	473.860804	324.140284
227.939508	329.690744	358.486001	257.364847	614.500425	268.57633	618.978071	340.67361
221.872962	310.47377	277.177591	353.957926	577.620452	297.720278	456.850014	418.461682
219.849168	298.470147	260.219512	177.820226	377.24334	216	416.702743	347.866405
180.045619	367.651528	283.609915	246.593341	461.132271	279.931994	501.9059	288.25879
237.262383	282.672724	346.624484	203.641678	506.416394	357.806523	514.297029	342.926015
349.81351	267.101798	398.061709	203.064738	180.708974	265.805188	562.940931	310.489636
300.866105	276.024427	293.144317	389.402362	243.747159	253.706349	447.126653	328.562969
500.25013	397.560383	269.803	294.51953	355.047977	301.55309	547.824887	357.126744
567.517507	202.298146	270.796876	242.982549	335.876675	215.827713	407.642647	314.913916
414.832357	244.032466	276.196656	241.191803	314.701749	381.582406	551.503309	275.241395
181.156119	185.631071	337.540858	203.09829	368.707709	302.183617	491.533293	333.93224
311.253132	216.573889	240.030774	142.389245	164.556633	262.598278	376.881903	252.833137
405.29985	206.931752	176.237908	214.901546	354.478978	367.763622	537.777738	318.740717
481.732611	397.057074	284.610781	242.605513	575.895019	355.9803	459.774045	315.838391
332.751582	333.797583	221.511406	296.827391	242.318723	354.471389	512.693121	270.166149
	345.59375		137.688884				412.085606
	474.683395		126.492513				343.204295
	384.198125		224.729576				565.942048
	346.50391		197.670033				314.378676
	328.412783		193.646644				449.067867
	316.996355		159.576746				475.236464
	297.275533		260.012729				464.979848
	308.860477		135.684221				433.566599
	231.451868		117.086949				349.637355
	309.12981		176.610095				446.094074
