VAC1	VAC2	VAC3	VAC4	CAC1	CAC2	CAC3	CAC4	GCVC1	GCVC2	GCVC3	GCVC4	GCCC1	GCCC2	GCCC3	GCCC4	GCMVC1	GCMVC2	GCMVC3	GCMVC4	GCMCC1	GCMCC2	GCMCC3	GCMCC4	VAG1	VAG2	VAG3	VAG4	CAG1	CAG2	CAG3	CAG4	GCVCG1	GCVCG2	GCVCG3	GCVCG4	GCCG1	GCCG2	GCCG3	GCCG4	GCMVG1	GCMVG2	GCMV3	GCMV4	GCMCG1	GCMCG2	GCMCG3	GCMCG4
34991.23925	18947.97155	32782.2254	54640.06945	15708.41411	12176.85606	9986.360127	16915.78574	12	4	13	9	21	19	15	34	0.342942984	0.211104391	0.396556361	0.164714286	1.336863152	1.560337077	1.502048775	2.009956884	47817.05678	60764.68257	48315.13591	33441.80392	8959.312556	15664.47773	11525.61174	12228.81651	44	15	23	18	23	19	18	42	0.920173741	0.246853919	0.476041298	0.538248476	2.567161248	1.212935428	1.56173923	3.434510606
63640.26942	29396.93522	23414.70878	25875.05885	5773.892219	13299.97142	6255.612026	19544.9526	18	13	14	2	5	22	4	17	0.282839783	0.44222297	0.597914761	0.07729451	0.865966979	1.654138893	0.639425844	0.869789779	17933.55862	32814.45236	51279.61026	40578.0721	7340.13333	9951.527076	8417.398053	19845.0514	16	12	25	31	15	27	15	32	0.892182101	0.365692527	0.487523206	0.763959409	2.043559609	2.713151438	1.782023365	1.612492674
72904.11236	29933.68076	18117.96087	41970.47249	11026.99109	13616.39647	7032.929979	20787.81363	20	12	7	0	12	17	9	22	0.274332947	0.400886216	0.386356944	0	1.08823884	1.248494786	1.279694242	1.058312355	14392.50806	45339.51064	34249.30181	55157.66377	3177.934594	12603.40873	13013.91238	9249.807774	22	19	22	32	4	21	36	21	1.528573054	0.419060544	0.642348861	0.580155101	1.258679146	1.666215898	2.766270354	2.27031745
40342.82817	22270.9082	20111.83433	39900.80048	6446.641105	11681.53244	5891.958883	10595.81952	6	5	13	6	12	16	4	21	0.148725319	0.224508132	0.646385595	0.150372923	1.861434475	1.369683308	0.678891364	1.981913712	18447.49604	41033.95141	36849.9336	49193.6991	6014.868097	8958.948077	8966.170818	12068.17235	25	28	15	29	15	15	19	41	1.355197472	0.682361777	0.407056364	0.589506391	2.493820273	1.67430371	2.119076291	3.397366131
33422.89939	29414.31912	29419.20603	46194.27775	7401.440798	10997.46782	6245.710554	15711.71051	8	6	20	9	10	13	11	13	0.239356852	0.203982284	0.679828	0.194829326	1.351088291	1.182090297	1.761208738	0.82740832	31911.36822	26900.20758	35289.50991	52857.13947	31911.36822	8305.712146	8984.911389	8618.304648	27	8	14	32	16	13	20	28	0.846093461	0.297395475	0.396718459	0.605405444	0.501388718	1.565187882	2.225954062	3.248898843
43348.90919	18331.10156	29301.79731	41750.7249	10294.24874	10193.8876	12986.65262	12386.04503	8	5	16	6	5	11	14	10	0.18454905	0.272760477	0.54604159	0.14371008	0.4857081	1.079078015	1.078029914	0.807360217	39887.72999	40192.90865	38887.84617	46681.33217	9084.239501	7408.978472	9272.008391	10983.81473	28	15	16	20	33	22	22	24	0.701970255	0.373200162	0.411439603	0.428436788	3.632665123	2.969370215	2.372732969	2.185033214
37182.06538	36143.94513	46998.58614	68579.53654	9858.527558	17208.92908	10579.37752	24935.08521	7	7	25	11	5	18	27	25	0.188262807	0.193670059	0.531930895	0.160397701	0.50717513	1.045968632	2.552135034	1.002603351	43936.45585	34880.01568	39202.69782	48725.20573	8160.458808	10119.04871	15077.17764	12065.7087	38	13	25	23	33	12	33	33	0.864885418	0.372706254	0.637711214	0.472034949	4.043890273	1.185882225	2.188738555	2.735023763
34139.15066	27760.92696	25263.00267	35040.81493	6440.2317	11774.27952	7857.964079	18209.22155	12	7	13	2	15	24	18	26	0.351502594	0.252152963	0.514586495	0.057076298	2.329108749	2.038341282	2.290669672	1.427847968	25217.97291	42205.08011	65800.14502	58979.47816	4618.189849	15467.821	15043.28591	11296.42455	25	9	36	44	10	12	29	41	0.991356446	0.213244471	0.547111256	0.746022199	2.165350565	0.775804168	1.927770313	3.629466989
36818.80011	13772.3613	25932.15549	39732.59239	8913.271384	10097.99604	6982.395435	10386.1912	12	8	18	9	8	21	8	27	0.325920453	0.580873521	0.694118929	0.226514291	0.897538026	2.079620541	1.145738604	2.599605523	22232.82647	78400.36166	48318.87148	26477.41472	6136.035134	10537.95126	8398.712386	12827.33327	33	31	19	23	23	13	16	21	1.484291709	0.395406339	0.393221104	0.868664869	3.748348811	1.233636376	1.905053925	1.637129056
36818.80011	22131.31751	34709.70793	31358.14513	8913.271384	10584.16794	8849.2514	12717.60381	6	8	11	10	13	24	14	19	0.162960226	0.361478705	0.31691422	0.318896413	1.458499292	2.267537717	1.582054726	1.49399213	47880.35215	26617.27156	48222.19676	36193.38892	3401.292623	9182.617844	11302.22085	11599.13313	57	11	28	28	8	10	18	24	1.190467435	0.413265499	0.580645468	0.773621947	2.352046968	1.089014067	1.59260735	2.069120143
14584.32759	21462.14306	38572.65697	28918.91922	8998.014553	9238.145759	11442.01518	10390.59255	4	5	10	14	19	20	22	24	0.274267015	0.232968347	0.259251003	0.484112144	2.111576936	2.164936614	1.922738229	2.309781649	35211.14129	38772.52922	38551.35194	62807.21605	10422.52302	27528.93715	8984.31327	15521.07621	13	20	13	45	20	33	19	35	0.369201324	0.51582913	0.337212558	0.716478182	1.918921164	1.198738615	2.114797139	2.25499827
29771.44662	23662.77033	41782.6115	44104.10432	6307.826099	11597.10804	15608.31317	13757.28552	2	3	12	19	5	17	33	20	0.067178462	0.126781436	0.287200813	0.430798908	0.792666114	1.465882696	2.114257937	1.453775164	45148.78759	23499.53924	32370.07228	52700.63926	2987	11506.2718	13685.91833	22236.87048	16	13	11	20	4	16	23	37	0.354383824	0.553202336	0.339820063	0.379502038	1.339136257	1.39054598	1.680559495	1.663903203
33630.83609	25550.16693	33972.12825	39632.1033	3050.466131	11489.09186	8355.394892	13236.31165	2	24	11	21	5	14	11	30	0.059469232	0.939328501	0.323794845	0.529873468	1.63909376	1.218547138	1.316514676	2.266492418	14879.8063	35534.64133	32058.98926	34712.72094	14879.8063	13029.13183	17587.01212	15833.20701	5	23	13	19	12	26	24	27	0.33602588	0.647255724	0.405502491	0.547349775	0.806462111	1.9955282	1.364643399	1.705276763
27343.03013	32286.61718	58574.55306	28371.13414	4570.73184	16174.26999	6603.855546	12687.34069	2	6	17	15	6	29	10	34	0.073144783	0.185835511	0.29022842	0.528706393	1.312700069	1.792971184	1.51426692	2.679836605	36842.70232	44520.41267	51376.10586	45588.61052	8277.429965	14162.77145	13505.9276	12202.85363	16	24	15	30	23	30	26	24	0.434278676	0.539078561	0.291964518	0.6580591	2.778640242	2.11822948	1.925080658	1.966753083
27436.46572	13880.5862	44155.10499	40155.98967	4152.816705	11004.53005	11473.93383	14001.58598	3	7	13	19	9	14	15	37	0.10934353	0.504301468	0.294416693	0.473154818	2.167203765	1.27220335	1.307311008	2.642557783	21504.1851	35404.59371	28655.64934	59363.65534	6626.488599	10346.50293	11053.51734	20522.48518	12	19	16	37	14	31	22	28	0.558030911	0.536653525	0.558354125	0.623276983	2.112732828	2.996181437	1.990316686	1.36435718
28957.81566	25933.89861	40469.90459	42534.29012	5426.361249	10440.00443	10042.24995	9738.556573	1	11	8	24	9	22	11	35	0.034532991	0.424155279	0.197677758	0.56425063	1.658570004	2.1072788	1.095372059	3.593961768	42488.31287	23917.62243	63122.88975	40139.76464	4915.020994	10167.46387	17866.56357	18404.1918	14	13	32	21	8	32	39	33	0.329502375	0.543532286	0.50694764	0.523171976	1.627663444	3.147294194	2.182848417	1.793069772
9852.42508	37391.71075	51874.0987	30256.35451	8677.07213	14547.99405	14217.49556	11214.99318	1	17	16	14	23	29	23	17	0.101497854	0.454646221	0.308439094	0.462712717	2.650663686	1.993401971	1.61772514	1.515827939	33675.16024	27702.62233	44224.43669	54370.60917	6259.686857	15006.15625	17079.79461	19442.20774	7	21	9	44	14	37	30	43	0.20786835	0.75805098	0.203507397	0.809260751	2.236533603	2.465654721	1.756461403	2.211682983
36405.36881	23917.62149	35452.08294	22045.24854	6726.716123	14220.20681	15192.5163	6477.149736	7	8	6	15	5	30	23	13	0.192279332	0.33448142	0.169242524	0.68041873	0.743304743	2.10967396	1.513903263	2.007055654	27938.96763	31241.05479	36060.95627	38991.91236	8207.119705	13612.0137	7520.667216	20918.47936	7	17	15	37	20	26	15	54	0.250546122	0.544155763	0.415962347	0.94891473	2.436908528	1.910077419	1.994503888	2.581449591
44985.73785	23139.99633	53761.91325	27545.64454	3314.115357	9593.848341	7344.347939	20054.27138	6	2	20	8	4	15	16	46	0.133375605	0.086430437	0.37201057	0.29042704	1.20695859	1.563501889	2.178546024	2.293775681	14657.27439	37768.57153	17537.24845	34378.94564	5134.580142	15375.07996	11807.24953	16043.22273	3	16	14	18	4	36	22	33	0.204676526	0.423632649	0.79830083	0.523576266	0.779031564	2.341451238	1.863262053	2.05694333
44346.38998	27313.96555	32554.77989	25266.55496	4387.485401	15275.91882	11960.69913	10492.61047	5	10	5	19	8	42	29	22	0.112748749	0.366113078	0.153587277	0.751982216	1.82336789	2.749425452	2.424607431	2.096713689	24910.15977	43711.87907	20146.51228	64379.1447	7910.675966	8421.709679	13406.71597	9312.250356	11	23	18	30	16	24	24	27	0.441586891	0.526172759	0.893454894	0.465989415	2.022583161	2.849777648	1.790147569	2.899406585
21780.8075	41254.52442	29837.72443	18929.33735	7367.090027	12095.20886	10744.97065	14039.74371	20	6	8	6	21	18	23	24	0.918239602	0.145438593	0.268116961	0.316968306	2.850514915	1.488192573	2.140536327	1.709432914	31193.67945	19488.91287	26128.13502	24694.13551	8064.117972	12305.65974	10020.4619	21341.51198	10	15	19	14	12	21	37	49	0.320577764	0.76966838	0.727185464	0.566936226	1.488073468	1.706531827	3.692444556	2.295994775
15235.35044	42633.42966	31040.45677	32702.68888	5589.009537	16470.29547	7639.659556	17222.67848	12	12	1	13	7	28	16	23	0.787641876	0.281469262	0.032216021	0.397520829	1.252458052	1.700030218	2.094334163	1.335448492	33874.61048	13793.16843	26177.58038	57772.93571	7805.608636	11918.818	16137.38837	10219.73221	16	11	13	28	12	20	55	33	0.472330154	0.797496243	0.496608159	0.484656001	1.537356093	1.678018743	3.408234266	3.229047429
20162.14292	25686.48186	35349.52955	30013.90806	2913.587064	8502.144596	13800.89267	13963.33505	21	6	6	11	8	22	27	23	1.041555954	0.233585901	0.169733518	0.366496758	2.745756287	2.587582433	1.956395187	1.64717096	25147.11641	42294.25907	59123.40943	41169.19008	6871.992079	16243.98682	11772.70547	11938.71907	13	27	49	22	6	30	20	28	0.51695788	0.638384513	0.828774938	0.534380199	0.873109272	1.846837253	1.698844845	2.345310233
24037.89058	42424.91063	60122.78682	23338.78465	7432.795715	10170.19578	6882.317188	12074.16824	23	11	11	13	20	21	11	26	0.956822726	0.25928163	0.182958918	0.557012723	2.690777571	2.064857005	1.598298901	2.15335744	29616.21974	21104.47576	25247.29084	63811.92284	7076.851018	15397.36706	10463.86302	26963.61293	8	15	9	47	12	28	28	61	0.270122253	0.710749709	0.356473891	0.736539473	1.69566944	1.818492726	2.675876009	2.262308103
22997.99169	39942.66159	40998.68381	15595.62011	5109.10411	19317.45429	14558.40437	7870.175585	23	12	4	4	1	30	30	17	1.000087325	0.300430655	0.097564108	0.256482267	0.195729032	1.552999663	2.060665388	2.16005346	14653.20683	40727.51211	33693.32583	32451.67674	8246.275552	11487.81984	17927.2115	26030.79869	2	14	13	9	19	28	50	35	0.136488894	0.34374798	0.385833089	0.277335439	2.304070472	2.437364128	2.789056179	1.344561126
14858.2727	32582.49364	32357.92777	21492.47681	5088.134532	12919.75435	10216.81865	10839.63741	22	8	6	5	10	19	21	35	1.480656631	0.245530624	0.185425966	0.232639544	1.965356839	1.470616196	2.055434349	3.228890291	46991.69774	33971.62361	24399.13513	29005.37552	6269.404962	16185.65507	11252.96017	26023.72671	21	16	11	16	22	45	33	45	0.446887451	0.470981316	0.450835652	0.551621888	3.509104952	2.780239651	2.932561698	1.72919123
20988.31428	37395.93177	37628.86919	25654.10073	4969.896574	14382.68201	7870.189021	10070.92938	15	9	5	12	15	25	16	9	0.714683409	0.24066789	0.132876701	0.467761475	3.01817146	1.738201539	2.032988021	0.893661316	21475.6536	36178.37419	27208.06681	37788.74722	4951.160851	17349.37376	15809.94017	26105.0762	11	7	7	22	6	22	38	40	0.512207926	0.193485754	0.25727664	0.582183894	1.211837018	1.268057297	2.403551157	1.532269038
25036.53839	39776.3325	41749.16552	24862.4063	8275.043281	10904.69056	9249.019892	9648.650825	17	5	1	16	22	9	16	11	0.679007606	0.125702891	0.023952575	0.643541892	2.658596367	0.825332911	1.729913027	1.140055765	16498.82837	34664.2069	27730.73709	36075.02929	8043.029467	15432.34476	9273.282976	21048.95701	10	15	8	16	23	23	34	42	0.606103644	0.432723012	0.288488545	0.443520083	2.859619015	1.490376243	3.666446941	1.995348272
