VAC1	VAC2	VAC3	VAC4	CAC1	CAC2	CAC3	CAC4	GCVC1	GCVC2	GCVC3	GCVC4	GCCC1	GCCC2	GCCC3	GCCC4	GCMVC1	GCMVC2	GCMVC3	GCMVC4	GCMCC1	GCMCC2	GCMCC3	GCMCC4	VAG1	VAG2	VAG3	VAG4	CAG1	CAG2	CAG3	CAG4	GCVCG1	GCVCG2	GCVCG3	GCVCG4	GCCG1	GCCG2	GCCG3	GCCG4	GCMVG1	GCMVG2	GCMV3	GCMV4	GCMCG1	GCMCG2	GCMCG3	GCMCG4
30917.71963	12417.65899	44155.00432	52820.51597	4411.319717	12417.65899	14936.29807	19556.98812	13	11	15	8	11	30	15	28	0.420470855	0.885835245	0.339712344	0.151456302	2.493584847	2.415914306	1.004264908	1.4317133	26562.58351	47429.4502	61719.53255	41271.49388	7808.120002	19812.73311	17105.99747	14646.45519	18	6	16	11	17	28	18	19	0.677644928	0.12650368	0.259237219	0.266527789	2.177220636	1.413232584	1.05226252	1.297242217
24915.17609	31225.29562	50386.11183	49414.27526	7131.096073	13400	13073.97162	22693.3627	12	14	8	3	11	28	19	28	0.481634164	0.448354442	0.15877391	0.060711201	1.542539869	2.089552239	1.453269179	1.233840942	13552.80427	85542.78139	52365.13837	29768.06744	10817.52306	16045.37639	11041.39193	10388.11546	17	9	30	8	26	22	16	16	1.254352949	0.105210514	0.572900233	0.268744352	2.403507703	1.371111494	1.44909266	1.540221618
22709.23968	29280.93874	26433.31657	57446.59134	6817.75687	10505.98914	8300.176307	8764.071259	6	15	11	2	8	21	5	4	0.264209638	0.512278658	0.4161415	0.034814946	1.173406467	1.998859862	0.602396843	0.456408886	16558.05403	29575.44258	52345.17565	31874.24025	8830.106801	12373.40585	11960.56831	9207.507696	12	9	19	20	21	20	14	22	0.724722844	0.30430652	0.362975189	0.627465936	2.37822718	1.616369838	1.170512942	2.389354506
27540.7626	29554.23813	52209.64554	29078.32852	6076.070427	10913.9273	11529.37127	18159.94244	7	4	11	1	5	10	7	13	0.254168706	0.135344379	0.210689038	0.034389872	0.822900271	0.916260455	0.60714499	0.7158613	23546.05845	19302.97531	41985.05899	42934.3947	7684.115503	6348.481943	9483.848921	9854.633493	8	9	13	14	17	14	17	12	0.339759625	0.466249366	0.309633958	0.326078895	2.212356125	2.205251606	1.792521174	1.217701298
14228.28311	60516.80573	16680.40147	26030.80189	5351.916768	12274.55734	11983.18767	15486.95851	5	9	7	9	8	9	10	20	0.351412743	0.148719019	0.419654168	0.345744247	1.494791557	0.733223997	0.834502494	1.291409155	32301.31638	35213.55567	53439.12267	35834.99055	6837.85873	10726.33707	7939.058192	9184.319069	19	7	19	12	11	11	24	14	0.588211322	0.198787083	0.355544759	0.334868234	1.608690737	1.025513177	3.023028604	1.524337286
62682.95818	19505.32028	28557.23172	23446.11638	4845.609922	11336.61175	14196.32437	9652.425622	26	7	6	1	8	14	8	14	0.414785785	0.358876445	0.210104399	0.042650987	1.650978954	1.234936885	0.563526149	1.450412627	25345.47354	46036.80286	29187.70638	50147.70767	7190.561107	12407.72125	12383.10585	10980.06235	20	6	12	25	14	22	13	19	0.789095535	0.13033051	0.411131997	0.498527274	1.946996874	1.773089479	1.049817401	1.730409118
44849.37735	19087.97027	40220.51079	39370.75284	7057.003194	9515.390269	27314.44126	20087.38626	22	11	14	6	11	11	29	22	0.490530779	0.576279188	0.348081109	0.152397391	1.558735301	1.156021949	1.061709435	1.095214664	23413.98705	25291.39928	57088.93938	27735.22401	4990.927583	5847.168598	20723.67602	12901.10821	29	15	19	9	16	18	28	11	1.238575896	0.593086995	0.33281403	0.324497109	3.205816902	3.07841303	1.351111645	0.85263993
38125.8782	35547.22139	33765.62564	37134.06106	8446.531145	14777.13637	13573.71703	9760.468366	8	16	13	3	6	33	17	14	0.209831232	0.450105504	0.385006934	0.080788363	0.710350782	2.233179634	1.252420392	1.434357397	14572.48814	18634.27678	50776.86588	50763.35818	5809.6574	10788.26897	6278.894754	10738.08439	16	7	16	13	16	29	13	15	1.097959377	0.375651821	0.315104127	0.256090229	2.754035031	2.688105022	2.070428078	1.396897199
40208.69709	33005.78859	46881.37869	29987.63638	6605.749171	10467.39301	15200.59225	16288.87886	6	6	8	6	3	8	19	23	0.149221448	0.181786294	0.170643446	0.200082458	0.454149851	0.764278172	1.249951297	1.412006326	35278.94128	23663.88976	43362.3632	24676.36543	9475.170214	14131.70282	8247.672648	17362.96426	17	11	22	6	30	18	19	24	0.481873871	0.464843274	0.507352422	0.243147639	3.166170034	1.273731852	2.303680179	1.382252457
30261.58789	29633.74471	24020.10305	30170.34495	7163.577215	12565.00226	9710.526086	19034.31073	16	7	8	2	4	16	8	25	0.528723081	0.236217193	0.333054358	0.06629026	0.558380245	1.273378203	0.823848258	1.313417667	19480.45922	43917.55175	36454.34875	33921.66152	7129.220116	16382.47463	8954.490785	8528.443215	8	8	18	6	21	25	20	13	0.410667937	0.182159517	0.49376825	0.176878128	2.945623737	1.526020981	2.233516174	1.524311023
