GCMC1	GCMC2	GCMC3	GCMC4	GCMCG1	GCMCG2	GCMCG3	GCMCG4
3.375397092	1.879795308	1.956739383	2.547892791	4.226067097	2.337327748	3.717691114	2.776517575
3.864608992	2.435661604	1.627076044	1.098920116	2.542757406	1.684280418	3.870768849	2.099694997
2.357296029	2.064229018	1.939641461	1.204353702	4.274193548	1.777225325	3.873314266	2.13256324
2.569558638	2.131126342	2.814290611	0.896179597	2.777107342	1.670232266	3.187863669	2.564257397
4.083391342	2.614992851	1.433778104	1.525517755	2.757629713	1.579156892	3.352003802	1.851567472
3.711458124	2.414244109	1.884274424	1.556027902	2.928720908	2.60028081	2.468182332	1.770683599
3.159089416	1.413985118	2.021552711	0.975443639	4.331332557	3.591619766	2.5095674	2.31111327
3.00406334	1.639029284	2.462357672	0.897072993	3.472559006	1.518050245	5.265060712	3.646134416
1.996918554	1.651709166	3.306224009	1.515537528	3.062494589	2.877648524	3.324907655	2.16628572
2.481836497	2.129908912	2.765041964	1.886112741	2.205747912	2.972662857	3.371835338	2.200796446
2.293066912	2.390130835	2.477656238	2.675266553	2.052515955	1.691716076	2.808322456	3.766092958
2.305771032	1.14849006	2.019084901	2.246141539	3.406166544	1.989661412	2.216394977	2.593894535
2.31129878	1.170026757	2.384112164	3.153013942	2.578024086	3.364294087	2.572647257	2.249001679
2.422297132	0.90109415	2.733548394	2.106864352	2.854497134	2.048471302	2.516426422	2.508084594
2.933264729	0.829464348	1.746131982	2.538955546	2.329783062	2.248531809	1.807289032	2.759575286
2.428330255	1.402595215	1.783243027	3.249693667	2.682566162	2.672957309	2.607670836	2.53917755
3.527977355	1.310799539	1.415156619	2.380844034	1.878962745	3.318944221	2.73331931	2.086176823
2.266765391	1.557909359	1.593349478	1.879210189	2.350184819	2.913330592	2.497565949	2.918044803
2.813553044	1.127225051	2.47016309	2.39347738	2.812714242	2.186659706	2.051385592	2.860805601
3.08123672	0.995232457	1.400389711	2.0318431	1.270151211	4.086517765	2.618209043	2.702755398
3.864497462	1.824168795	1.961161537	1.985935629	2.938062139	2.561413458	1.814541598	1.984279036
2.945686895	1.91176514	1.489770187	1.776062306	3.727953465	1.284565214	1.953438117	2.113041154
4.52518331	1.387062201	1.505676815	2.567132174	3.295541039	2.840151888	2.378853789	2.514447417
3.046477805	2.045593836	1.622393867	1.692666108	2.723208552	1.500900094	1.737392263	2.408092163
3.885592847	2.1045725	1.312205893	1.796639302	2.554620791	1.76314974	1.220557988	2.626029089
3.55206347	1.769031271	2.156759597	2.601609246	3.846922923	1.657929506	3.483617106	2.303365147
3.993986074	1.742881362	1.609627121	1.965461692	3.794773885	1.756839714	1.754471128	2.706558429
4.373056176	1.813452711	1.495893216	1.633164741	2.468684593	2.376796929	1.614614454	2.269857885
4.183963438	2.175266406	1.472996988	1.7599385	2.93234621	1.603335083	2.35345228	1.64617287
3.109953127	2.089842522	1.909399988	2.733312101	4.202499234	1.753637185	1.055919	1.738216633
2.980989153	2.538901023	2.294638324	3.537674308	2.956850884	2.354939754	2.617139009	1.659322221
2.437419809	2.734814408	1.959062425	1.96405741	3.395070477	2.134473796	2.966050467	2.153435667
2.460606217	2.342196061	2.697139713	2.504874436	3.090064782	1.655021152	2.054599641	1.290440169
2.075417075	2.773554379	2.527256476	1.925799908	2.890129621	1.955379461	2.834645669	1.387664557
3.390955491	2.33864913	2.836001097	1.920595142	2.971684305	2.313675857	2.939758858	2.079884472
2.449179956	2.965852872	2.438517533	2.493815562	3.774483022	2.21071137	1.658657466	1.365549153
2.405895919	2.226273599	3.661395899	2.258439996	3.374311124	2.050264635	3.172439957	1.165426006
3.315198014	1.932398287	1.129903278	1.740942369	2.94415675	1.472486297	4.026619456	1.928894997
1.821513204	2.859632126	2.557311289	2.608471351	3.743481586	1.010883496	1.875152079	1.418726717
2.659156628	1.695459853	2.270153745	1.874929188	1.998064007	2.033125729	2.872456841	1.597471319
	1.95707092		1.891367403				2.277411193
	1.831576289		1.360226304				2.541405086
	2.54520177		2.38499394				2.056529738
	2.036127393		2.508460529				1.95198889
	1.622978251		1.907598646				2.03910657
	1.863485974		2.126157475				2.184613634
	2.044591439		2.739374536				1.766297568
	2.013056963		2.246500834				1.834014022
	1.61934695		2.39295465				1.415504435
	1.948163436		2.72995175				1.70812444
