GCMCC1	GCMCC2	GCMCC3	GCMCC4	GCMCG1	GCMCG2	GCMCG3	GCMCG4
3.2875325	2.549752719	2.288173374	2.296209603	4.753986286	3.311276889	3.785019997	2.468766315
3.091406528	3.431228656	2.572529925	2.414486275	3.558534982	1.87071218	3.582050202	3.402272146
3.010528307	2.868511334	2.86665285	2.377710711	4.775126347	3.573890873	2.792051836	2.233959037
3.50943139	3.040342778	2.287490717	2.157127431	4.517819266	3.775781721	2.795945147	2.253183721
1.968026029	2.338715214	2.629919681	2.058807913	5.195402427	3.450908757	2.349183093	1.875599722
2.031569823	2.896509127	2.849520448	1.91052881	5.231011435	3.51234773	2.215030176	2.437403074
1.373323997	2.800030084	2.385781379	2.473724564	4.79345596	4.030446258	2.347785756	2.130729758
1.731346311	2.392750706	2.789786979	1.720098989	4.652994699	3.305487386	2.654958342	2.25274017
1.893180794	2.589351937	1.290905443	1.983154469	3.899138914	2.888350474	2.579070407	2.805608202
2.813689098	3.372439611	1.820091944	2.561097584	4.986209729	4.107201783	2.517193498	1.98406656
3.567329919	1.967836059	2.840681458	2.964576239	3.254008802	2.882291044	3.389522807	2.432942819
2.959090657	1.85651407	3.391029006	1.810276556	2.353340458	3.7679618	3.958650103	2.994191136
3.407185582	2.865183031	3.812763856	3.475596555	3.055152718	3.567473443	3.03231062	2.786719348
2.689338077	2.310050782	3.694283893	1.60440235	3.612906697	3.531731515	3.103273355	2.881749901
3.082283201	1.811584947	2.306474711	2.152961802	2.81365184	3.167492183	3.558627093	2.40625377
3.797006006	1.337746704	3.378062557	2.65429053	2.884786766	3.857975607	2.984739582	2.453857217
2.911213176	1.837670533	4.264241008	2.985849854	3.566296785	4.652373718	3.651855349	2.857472275
2.848621669	2.205354779	3.145395703	1.988314955	3.57049733	3.770749691	3.178453373	2.386318398
3.510738465	2.692616151	3.507519311	2.625798549	4.243906417	4.492990932	3.048594622	2.608901457
3.793898803	1.772495845	3.001330493	2.29948357	3.337400605	3.079882491	3.429721981	3.213592264
4.13176905	1.690477926	3.077260872	2.648471116	3.628838728	1.800609512	2.253828477	3.120251971
4.375776726	1.700473481	2.556988907	2.698338777	5.204970334	2.692759938	2.002966682	2.4534335
2.899374481	1.957678056	2.575836123	3.018839762	4.195107251	2.861125985	2.167163283	2.786973296
4.06963907	2.006721574	3.058387196	2.470503255	2.146092691	2.411828128	2.226297252	2.854510857
3.925475296	1.773086817	2.232251923	2.28881057	3.068158275	2.480717808	2.340977443	2.585966126
3.402299467	2.368248932	1.937234593	2.789609338	3.528534329	1.932442565	3.05128821	3.410937326
3.128036841	1.992549939	2.780114628	3.798336905	5.078523791	1.989599361	2.718425337	3.377637597
3.212686921	2.579151305	2.886135093	3.594269824	5.889836463	2.372398462	1.934995658	2.230354353
3.387973089	1.957785761	2.193065898	2.287542127	3.17220509	1.781267296	2.263220893	2.184682428
2.531333581	2.457100399	3.159647786	2.348620023	4.35550826	2.385644077	2.685763647	2.792414312
5.67749216	3.005396603	3.712846564	2.065449106	3.362251308	2.83917548	2.577914314	2.397129395
4.439350077	2.245108441	4.716958628	2.679541624	3.398020166	3.310070276	1.516516526	2.012576658
3.779442762	3.478540279	3.17901846	1.853024589	3.520984577	2.39807209	1.714268513	2.010313156
4.746154961	2.548370618	1.903298932	2.86503216	2.908616563	3.501107079	2.397782641	1.902514076
4.138930534	2.592401695	4.024375455	2.236267832	3.381627493	3.219883341	2.906788378	2.010745196
5.103352974	2.271478101	2.387190891	1.340256987	2.657351198	3.290750425	2.957541652	1.832443611
4.295603509	2.903771386	2.206662698	2.382001759	3.722712102	3.499847296	2.268900891	2.147615285
3.96249225	3.529210641	2.668423331	1.908174206	2.721849451	2.44262319	3.744540313	1.737361108
4.443286681	3.109593994	2.44761502	1.134164627	3.073846821	2.117446799	2.200330056	1.075276594
4.8872281	2.126785293	3.234667571	2.907635074	2.881311082	2.906652686	2.908646334	1.93450043
	2.304065074		2.186548162				2.903663763
	1.659059246		2.136040235				2.486373225
	1.798457382		2.346213715				2.413339339
	2.301947618		2.454912626				3.211645666
	2.215862432		2.377324312				2.810862863
	2.378966945		1.873921001				3.343836644
	2.43778281		2.258507919				2.094964089
	1.910534583		2.039962153				3.223654199
	2.081210877		1.940894375				3.078285372
	2.242274778		2.45949341				3.461416146
