Group	VAC	VHC	VWC	CAC	CDC	CWC	VCRC	VAG	VHG	VWG	CAG	CDG	CWG	VCRG
Trial1	38172.39787	418.372235	111.908731	4137.583459	139.815483	35.4	2.992316917	28524.04152	328.088288	101.922135	5122.491706	205.985816	29.9	1.592771261
Trial1	48247.65672	685.559058	68.740721	8069.804243	231.841658	26	2.957014127	37037.68638	346.362376	131.191	7005.178167	192.841295	31.3	1.796100654
Trial1	48938.91391	441.12568	139.577043	7579.835781	215.087124	37	2.05091626	33888.68553	350.821397	135.177686	3857.945349	154.484505	20.3	2.270916407
Trial1	53031.76142	502.252029	120.637271	6498.269636	191.094477	26.5	2.628291706	44346.97878	473.843077	107.843611	2391.493745	106.5825	19.5	4.445786851
Trial1	49941.20659	549.524082	108.452568	4406.148692	135.895045	34.8	4.043738916	45790.40354	426.056177	126.065618	7891.378165	238.698997	38.3	1.784909792
Trial1	50369.0035	572.100378	95.027633	9030.221505	204.761386	45	2.793985669	28643.30289	338.254243	90.419812	5950.349078	192.934316	40.2	1.753209331
Trial1	34518.20974	333.80754	111.370208	6307.031235	191.062947	33.2	1.747107669	48169.60873	461.922972	140.350835	3681.447523	143.073352	41.8	3.228574473
Trial1	37905.78376	392.349244	97.358137	6944.473987	280.338524	34.1	1.399555218	25991.06086	221.766367	127.826967	3786.154196	152.75679	34.1	1.45176111
Trial1	37938.88093	447.637011	112.573635	8703.353284	202.770718	35.3	2.207601844	52264.14358	504.780703	103.388621	4068.018293	124.928615	34.1	4.040553103
Trial1	52604.48008	645.100014	70.516848	5994.53941	175.285907	31.6	3.680273132	12091.88116	179.263637	68.826488	1625.411551	59.514122	29.9	3.012119325
Trial1	58578.21003	518.653953	120.516024	14562.27396	275.617793	45.3	1.881786903	40969.3268	421.316313	91.955088	8917.224604	214.4221	39.6	1.964892206
Trial1	54959.06708	579.792963	94.253033	6505.210936	150.35751	41.6	3.856095801	20591.19106	290.178445	65.924881	7101.525352	231.695484	32.9	1.252413038
Trial1	55779.39039	408.630922	150.713774	5868.629005	174.537165	32.7	2.341225847	21591.93441	321.368321	75.726187	5912.972474	129.980208	29.1	2.472440427
Trial1	36271.9902	314.602515	139.337119	6169.611593	187.017041	30	1.682213093	31300.59347	325.850976	108.836256	8133.836049	208.143172	34.7	1.565513646
Trial1	48167.42703	436.105604	130.053183	8660.131092	244.627409	38	1.782734019	34048.97223	387.999393	93.531666	7488.288493	247.272825	32.9	1.569114572
Trial1	88767.72889	483.446262	196.917066	7974.598459	171.550619	35.2	2.818096867	28852.80089	347.245488	105.905728	4421.727242	127.457004	32.1	2.72441276
Trial1	49597.89234	315.117858	175.030585	6662.914834	230.887324	40.7	1.364812293	27917.3707	352.626303	88.838371	4011.565237	154.693502	39	2.279515936
Trial1	63025.91819	607.748979	108.247414	7998.500176	209.3237	48.2	2.903393065	9311.488445	187.388909	54.574031	5140.62855	155.221224	30.3	1.207237671
Trial1	14588.67692	203.818452	73.559989	9567.887983	220.880528	44.7	0.922754277	49010.24587	403.004796	138.069853	7611.839831	207.163857	41.3	1.945343178
Trial1	63153.0875	543.327391	126.276193	7233.684858	176.656842	42.4	3.075609101	20303.12263	245.159738	87.897057	3163.050452	114.394624	31.2	2.143105414
