Group	VAC	CAC	GCVC	GCCC	GCMVC	GCMCC	VAG	CAG	GCVG	GCCG	GCMVG	GCMCG
Trial1	34991.23925	15708.41411	12	21	0.342942984	1.336863152	47817.05678	8959.312556	44	23	0.920173741	2.567161248
Trial1	63640.26942	5773.892219	18	5	0.282839783	0.865966979	17933.55862	7340.13333	16	15	0.892182101	2.043559609
Trial1	72904.11236	11026.99109	20	12	0.274332947	1.08823884	14392.50806	3177.934594	22	4	1.528573054	1.258679146
Trial1	40342.82817	6446.641105	6	12	0.148725319	1.861434475	18447.49604	6014.868097	25	15	1.355197472	2.493820273
Trial1	33422.89939	7401.440798	8	10	0.239356852	1.351088291	31911.36822	31911.36822	27	16	0.846093461	0.501388718
Trial1	43348.90919	10294.24874	8	5	0.18454905	0.4857081	39887.72999	9084.239501	28	33	0.701970255	3.632665123
Trial1	37182.06538	9858.527558	7	5	0.188262807	0.50717513	43936.45585	8160.458808	38	33	0.864885418	4.043890273
Trial1	34139.15066	6440.2317	12	15	0.351502594	2.329108749	25217.97291	4618.189849	25	10	0.991356446	2.165350565
Trial1	36818.80011	8913.271384	12	8	0.325920453	0.897538026	22232.82647	6136.035134	33	23	1.484291709	3.748348811
Trial1	36818.80011	8913.271384	6	13	0.162960226	1.458499292	47880.35215	3401.292623	57	8	1.190467435	2.352046968
Trial1	14584.32759	8998.014553	4	19	0.274267015	2.111576936	35211.14129	10422.52302	13	20	0.369201324	1.918921164
Trial1	29771.44662	6307.826099	2	5	0.067178462	0.792666114	45148.78759	2987	16	4	0.354383824	1.339136257
Trial1	33630.83609	3050.466131	2	5	0.059469232	1.63909376	14879.8063	14879.8063	5	12	0.33602588	0.806462111
Trial1	27343.03013	4570.73184	2	6	0.073144783	1.312700069	36842.70232	8277.429965	16	23	0.434278676	2.778640242
Trial1	27436.46572	4152.816705	3	9	0.10934353	2.167203765	21504.1851	6626.488599	12	14	0.558030911	2.112732828
Trial1	28957.81566	5426.361249	1	9	0.034532991	1.658570004	42488.31287	4915.020994	14	8	0.329502375	1.627663444
Trial1	9852.42508	8677.07213	1	23	0.101497854	2.650663686	33675.16024	6259.686857	7	14	0.20786835	2.236533603
Trial1	36405.36881	6726.716123	7	5	0.192279332	0.743304743	27938.96763	8207.119705	7	20	0.250546122	2.436908528
Trial1	44985.73785	3314.115357	6	4	0.133375605	1.20695859	14657.27439	5134.580142	3	4	0.204676526	0.779031564
Trial1	44346.38998	4387.485401	5	8	0.112748749	1.82336789	24910.15977	7910.675966	11	16	0.441586891	2.022583161
Trial1	21780.8075	7367.090027	20	21	0.918239602	2.850514915	31193.67945	8064.117972	10	12	0.320577764	1.488073468
Trial1	15235.35044	5589.009537	12	7	0.787641876	1.252458052	33874.61048	7805.608636	16	12	0.472330154	1.537356093
Trial1	20162.14292	2913.587064	21	8	1.041555954	2.745756287	25147.11641	6871.992079	13	6	0.51695788	0.873109272
Trial1	24037.89058	7432.795715	23	20	0.956822726	2.690777571	29616.21974	7076.851018	8	12	0.270122253	1.69566944
Trial1	22997.99169	5109.10411	23	1	1.000087325	0.195729032	14653.20683	8246.275552	2	19	0.136488894	2.304070472
Trial1	14858.2727	5088.134532	22	10	1.480656631	1.965356839	46991.69774	6269.404962	21	22	0.446887451	3.509104952
Trial1	20988.31428	4969.896574	15	15	0.714683409	3.01817146	21475.6536	4951.160851	11	6	0.512207926	1.211837018
Trial1	25036.53839	8275.043281	17	22	0.679007606	2.658596367	16498.82837	8043.029467	10	23	0.606103644	2.859619015
Trial1	24139.8493	8146.80532	25	26	1.035631983	3.191435045	8358.607691	8358.607691	9	12	1.076734348	1.435645797
Trial1	19206.43894	5074.739074	29	12	1.509910301	2.364653596	37881.39871	9311.424006	17	15	0.448769068	1.610924386
Trial1	22309.34758	7959.943546	21	10	0.941309463	1.256290317	18853.33463	4641.267058	9	7	0.477369133	1.508208839
Trial1	14491.93393	4348.434176	9	7	0.621035125	1.609774856	19901.08127	4561.761363	3	10	0.150745578	2.192135713
Trial1	15951.59204	2444.309459	6	3	0.376138005	1.227340503	35598.15301	4053.609439	4	7	0.11236538	1.726856054
Trial1	23744.30746	4721.872633	19	3	0.800191795	0.635341152	31227.90064	4604.136517	11	8	0.352249103	1.737567939
Trial1	14972.13071	4287.075017	11	5	0.734698368	1.166296363	18583.16424	5152.19613	7	15	0.376685042	2.911379851
