Group	VAC	CAC	GCVC	GCCC	GCMVC	GCMCC	VAG	CAG	GCVG	GCCG	GCMVG	GCMCG
Trial1	30917.71963	4411.319717	13	11	0.420470855	2.493584847	26562.58351	7808.120002	18	17	0.677644928	2.177220636
Trial1	24915.17609	7131.096073	12	11	0.481634164	1.542539869	13552.80427	10817.52306	17	26	1.254352949	2.403507703
Trial1	22709.23968	6817.75687	6	8	0.264209638	1.173406467	16558.05403	8830.106801	12	21	0.724722844	2.37822718
Trial1	27540.7626	6076.070427	7	5	0.254168706	0.822900271	23546.05845	7684.115503	8	17	0.339759625	2.212356125
Trial1	14228.28311	5351.916768	5	8	0.351412743	1.494791557	32301.31638	6837.85873	19	11	0.588211322	1.608690737
Trial1	62682.95818	4845.609922	26	8	0.414785785	1.650978954	25345.47354	7190.561107	20	14	0.789095535	1.946996874
Trial1	44849.37735	7057.003194	22	11	0.490530779	1.558735301	23413.98705	4990.927583	29	16	1.238575896	3.205816902
Trial1	38125.8782	8446.531145	8	6	0.209831232	0.710350782	14572.48814	5809.6574	16	16	1.097959377	2.754035031
Trial1	40208.69709	6605.749171	6	3	0.149221448	0.454149851	35278.94128	9475.170214	17	30	0.481873871	3.166170034
Trial1	30261.58789	7163.577215	16	4	0.528723081	0.558380245	19480.45922	7129.220116	8	21	0.410667937	2.945623737
Trial1	31230.40715	7720.568959	9	10	0.288180681	1.295241329	24633.313	9310.984711	11	14	0.44654976	1.503600364
Trial1	40899.58185	5635.932798	20	12	0.489002554	2.129195012	25118.31235	8123.906579	12	15	0.477739103	1.846402326
Trial1	15781.06653	7443.582918	9	8	0.57030366	1.074751244	22918.95292	7853.15502	11	12	0.479952118	1.528048277
Trial1	23901.96904	9164.236651	5	22	0.209187787	2.400636391	94302.40046	14084.89752	35	16	0.371146438	1.135968506
Trial1	33950.84781	6185.982474	14	5	0.412360836	0.808279044	40214.16999	6668.976496	29	16	0.721138843	2.399168749
Trial1	45218.35323	7536.704953	21	17	0.464413197	2.255627639	53428.67834	8026.35179	19	16	0.355614262	1.993433682
Trial1	47584.58285	7451.206429	15	8	0.31522815	1.07365164	19807.20962	8540.147918	13	16	0.656326673	1.87350385
