Group	VAC	VHC	VWC	CAC	CDC	CWC	VCRC	VAG	VHG	VWG	CAG	CDG	CWG	VCRG
Trial1	19929.23158	207.84934	104.559001	3741.358869	159.991287	21.330345	1.299129121	23423.9596	367.782071	54.380301	8587.122062	249.042687	36.578901	1.476783259
Trial1	32217.08693	355.269653	102.974794	7114.486808	187.589978	36.3659	1.893862651	21238.66483	284.767997	75.091069	7253.765297	206.456777	31.781696	1.379310484
Trial1	23530.51023	216.37962	112.264355	5415.558012	182.553359	25.162723	1.185295199	25390.91143	409.245261	68.104587	4640.701494	165.447273	30.384091	2.473569093
Trial1	29469.46221	378.610748	81.964234	6938.303324	188.368639	36.521375	2.009945764	25726.64666	339.220833	92.173495	11303.66467	241.468208	45.110282	1.404826067
Trial1	26309.68295	237.990608	122.527178	5863.554835	168.341882	34.784472	1.413733797	43700.88099	469.748634	101.082005	7305.285735	205.037624	28.760866	2.291036273
Trial1	37922.68037	351.234565	115.005112	6396.608968	143.364139	41.753071	2.449947159	25274.43716	250.596154	114	4292.9643	157.227832	36.371764	1.59384093
Trial1	30327.17842	279.645461	137.676077	4344.626377	142.525375	26.080871	1.962074901	42788.97127	374.24931	106.546783	10141.34054	292.210292	38.975503	1.280753349
Trial1	34426.27588	339.808226	115.963951	3760.97182	170.340711	22.344073	1.994873827	47516.00556	544.090168	88.885316	5994.681613	196.531721	23.989432	2.768459795
Trial1	25880.91857	286.954776	37.995817	6560.262538	189.212139	37.995817	1.516576989	27143.45968	367.810681	68.816164	9131.006823	208.886965	52.252739	1.760812031
Trial1	39406.72521	295.006237	142.458539	6232.381876	203.878984	23.529579	1.446967369	19480.6587	258.367312	73.675253	7227.245037	214.839374	30.460547	1.202606893
Trial1	53277.41596	475.795012	124.772971	23006.9982	430.293226	50.252398	1.105745997	39899.54644	396.773585	131.634003	7709.695772	208.460478	41.236122	1.903351603
Trial1	35367.90074	301.051972	135.517882	11538.85702	262.627583	40.50211	1.146307515	36697.51966	396.924478	108.328478	7658.75207	198.862786	41.066557	1.995971624
Trial1	41850.83767	323.76446	161.803946	6596.962558	204.489809	44.500286	1.583279194	36535.53792	371.895881	100.745561	6503.424803	207.969482	33.899014	1.788223337
Trial1	14438.19328	200.922513	83.40735	10826.17937	258.647389	36.809051	0.776820187	42570.5194	389.811227	116	6572.633112	161.559629	35.697684	2.412800954
Trial1	39824.31573	395.292125	121.659582	12775.98145	260.085857	31.481365	1.519852442	45965.62259	575.623838	88.889159	9372.79256	241.775647	33.452106	2.380818106
Trial1	44338.85605	470.526784	108.522214	11231.33971	232.989303	47.2593	2.019520973	29961.32522	320.655445	133.323908	4649.063715	118.869322	40.469785	2.697545839
Trial1	16129.91892	195.046507	90.161493	6644.958089	220.306238	35.969697	0.885342643	14610.21694	182.844142	93.644796	7016.089206	193.748719	46.688452	0.94371794
Trial1	44065.3622	419.010789	119.00659	11269.6036	186.833105	41.04133	2.242700987	34006.7091	393.176832	91.834716	8321.858547	180.045583	52.904444	2.18376272
Trial1	56082.93815	439.526423	166.393296	7861.214539	199.850098	35.62109	2.199280498	30989.72975	356.651463	89.295486	9556.480396	229.9038	34.945924	1.551307386
Trial1	35275.60975	387.167556	109.663367	7303.586328	177.493073	52.188032	2.181310794	16706.14105	232.98707	74.205935	6106.801436	188.745917	28.708949	1.234395285
Trial1	23073.97486	245.827521	100.90207	6054.926636	193.492382	32.854004	1.270476483	57518.75982	590.725249	97.646941	14587.08644	302.277676	45.952443	1.954247025
Trial1	14436.91503	154.091416	98.314446	8012.08904	246.648035	33.078134	0.624742119	61023.00832	609.504968	99.721177	12236.24792	257.301206	47.408263	2.368838364
Trial1	14447.50373	191.90865	81.45576	6953.610281	205.410481	36.823382	0.934269026	38309.95449	450.767192	92.788963	12526.80081	298.248567	40.602537	1.511380915
Trial1	13879.08614	174.267042	81.303075	5076.414489	171.800821	31.361431	1.014355118	67533.24765	434.397543	176	19243.62044	397.037297	54.884068	1.094097573
Trial1	14000.5119	181.909679	70.466463	5543.614242	210.771796	24.731811	0.863064615	39849.17273	467.767866	83.480672	11347.99869	202.934714	59.53581	2.305016509
Trial1	18755.64364	227.939508	106.45738	8044.302646	215.08914	36.298043	1.059744383	59810.08458	614.500425	83.718738	16929.05274	307.800652	41.96026	1.996423403
Trial1	20095.65627	221.872962	105.037197	7817.413865	238.739947	24.503959	0.929349968	49892.29003	577.620452	88.305761	15566.50052	268.447954	55.024956	2.151703686
Trial1	16647.70325	219.849168	81.007057	7798.163515	315.543004	23.482068	0.696732823	42697.7736	377.24334	142.441044	14917.35765	312.05555	41.44016	1.208898031
Trial1	14919.50318	180.045619	90.256697	7242.115729	232.323289	29.833242	0.77497878	48097.77584	461.132271	107.147468	12927.70167	275.572821	39.882044	1.673359039
Trial1	18824.28032	237.262383	104.157911	4515.558748	164.053071	31.998824	1.446253835	63871.32409	506.416394	136.30997	24961.40701	419.19303	63.859204	1.208074462
Trial1	28535.3975	349.81351	95.284493	8940.297074	201.132762	55.9767	1.739216956	10220.48679	180.708974	70.978739	5195.660394	142.265692	33.510632	1.270221734
Trial1	25153.65073	300.866105	91.303238	5913.641886	222.367743	34.245158	1.353011462	18838.00337	243.747159	89.44411	10557.36496	232.394417	29.447616	1.048851182
Trial1	39476.16722	500.25013	108.322857	5908.134783	207.965447	20.640917	2.405448295	35109.41168	355.047977	121.568046	9238.457081	192.863892	47.351254	1.840925086
Trial1	60705.49451	567.517507	100.306372	7075.734179	221.835956	32.143558	2.558275571	24627.6654	335.876675	70.926683	10085.70299	216.739324	42.085118	1.549680366
Trial1	39588.2332	414.832357	109.911005	5330.503711	214.796048	22.432703	1.931284867	25586.15508	314.701749	86.713717	5695.707642	167.095791	41.974116	1.883361317
Trial1	10793.03867	181.156119	67.004605	3890.009588	154.607288	25.604887	1.171717849	41221.98724	368.707709	96.878836	4897.222429	155.63498	38.146358	2.369054238
Trial1	24685.00486	311.253132	86.899413	4911.047373	200.308335	21.806011	1.553870097	7963.921366	164.556633	53.892875	4444.088083	156.56525	34.579543	1.051041869
Trial1	41501.31185	405.29985	100.902462	7817.03172	202.163726	40.354044	2.004809953	13643.72851	354.478978	125.808477	7466.645059	166.142939	26.761291	2.133578352
Trial1	45712.62363	481.732611	107.972412	6480.254965	195.647647	42.018329	2.462245871	41108.25103	575.895019	81.035995	8839.301966	228.154307	29.513715	2.524147041
Trial1	27983.28746	332.751582	89.978281	8574.122731	291.142613	27.460509	1.142916108	13901.8995	242.318723	57.24923	4771.770779	147.874475	26.806784	1.638678501
Trial2	27799.07783	248.746286	136.03663	14801.73584	272.178423	58.685895	0.91390891	24688.18171	299.615096	77.309364	9868.405991	342.385597	30.468684	0.875080899
Trial2	24091.55852	284.133281	94.21908	10756.9569	244.824897	39.631158	1.160557135	26391.71576	202.733743	138.793575	10453.03457	282.872756	49.055154	0.716695895
Trial2	16056.6351	269.336759	55.33426	14509.08197	325.862725	42.241923	0.826534422	27804.36619	270.327218	103.631953	13606.5213	267.154597	43.756978	1.0118756
Trial2	22004.82773	309.877093	86.070925	15578.2353	299.845931	51.764364	1.033454388	47024.41444	377.938509	136.911172	13586.16752	270.088404	32.736542	1.399314089
Trial2	27594.71845	214.899239	150.315911	8669.779409	238.681826	44.351086	0.900358618	42144.3606	260.349428	199.11253	15642.04159	342.348435	69.65035	0.760480848
Trial2	21097.0363	232.799794	116.799191	13927.57659	241.791521	43.452202	0.962812067	30542.84553	190.929578	168.786158	13799.03432	370.556298	34.801827	0.515251202
Trial2	17491.92974	283.855502	67.847908	10960.70887	248.682156	45.376209	1.141438962	43166.30652	295.320675	149.943094	13480.56338	297.827993	37.444172	0.991581322
Trial2	44693.28059	371.674029	109.49684	10437.14001	271.795079	51.875572	1.367478876	24321.2972	243.334475	107.61762	11181.95291	219.979949	50.227369	1.106166612
Trial2	48687.08271	423.861481	120.66134	14975.21376	305.339444	47.787178	1.388164842	34562.35643	231.456874	150.942637	13834.89136	355.438546	38.49162	0.651186757
