"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL1"	"CONTROL2"	"CONTROL3"	"CONTROL4"	"GOS1"	"GOS2"	"GOS3"	"GOS4"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	11001	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	14.6868250539957	21.004921004921	0.793832882118111	16.0919540229885	0.417439703153989	12.0379929795581	9.44501018329939	18.4980352204919	11.1258056415837	8.49109945602371	9.90866839602248
"Otu002"	"Otu002"	9237	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	2.62662857939107	7.64914098247432	19.7632267241775	3.24004664334499	11.628677445004	0.949824488953128	5.9877800407332	3.71125018192403	9.97572612371307	6.39123398779465	8.31982274102897
"Otu003"	"Otu003"	4126	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4.14547481362781	0.759734093067426	13.5961088422888	0.441445943694819	0.198780811025709	1.74478628948999	0.661914460285132	1.42628438364139	6.19234954381853	0.832537191210591	3.71631358985445
"Otu004"	"Otu004"	3843	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.940569915697067	2.8662695329362	9.29656311659707	1.04947526236882	3.31301351709515	0.805285979764609	2.82077393075356	1.26619123853879	4.38436427555035	2.37672795336232	3.45691021761061
"Otu005"	"Otu005"	3736	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	3.99219675329199	0.630233963567297	3.99669618684899	1.99900049975012	3.37264776040286	2.2506710716498	6.29327902240326	0.23286275651288	2.94132418180296	3.85852716956852	3.36503818994091
"Otu006"	"Otu006"	3717	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	4.38932627325298	2.33100233100233	0.325792685724774	6.92986839913377	1.5041081367612	5.91575469750155	4.11405295315682	4.45350021830883	3.01833096174772	3.73179434186668	3.34792477302205
"Otu007"	"Otu007"	3546	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae_1"	"Clostridium_sensu_stricto"	0.0418031073643141	7.08797375464042	9.62235580232185	0.416458437447943	0.0198780811025709	1.04274210200289	0.835030549898167	4.42439237374472	4.97865572947183	1.11524888377625	3.19390402075227
"Otu008"	"Otu008"	3439	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	4.34752316588866	6.69947336614003	0.362501720736016	1.04947526236882	0.119268486615425	8.50712368366715	2.95824847250509	5.98166205792461	2.68686699589855	3.57581547700287	3.09752846231445
"Otu009"	"Otu009"	3155	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.60941963352609	0.431667098333765	2.05570596062956	0.166583374979177	0.927643784786642	5.48213916993599	7.96334012219959	2.48872071023141	1.25387126475266	4.69106436077911	2.84172791468511
"Otu010"	"Otu010"	2699	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Terrisporobacter"	0.320490489793075	3.32383665716999	7.36475014913045	0.391470931201066	0.748741054863504	0.753665083625852	1.72606924643585	1.32440692766701	3.48706788315058	1.20103725945134	2.43100590863237
