"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	14431	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	35.926024245642	6.37818909454727	11.8055555555556	4.27823635997584	7.77012786286357	1.82895414734673	2.76602668402213	7.42356094679933	5.58875079668579	18.5696574446766	5.44802414321604	11.7721208152574
"Otu002"	"Otu002"	10234	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	15.5782674099637	3.73936968484242	6.14316239316239	5.65733843366217	6.3088379935366	0.798557444616177	0.284738041002278	6.58307210031348	12.671287444232	9.37653912127851	7.41993079366083	8.36293689121716
"Otu003"	"Otu003"	5053	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0.0929121316697637	0.737868934467234	4.52279202279202	2.2347493456815	3.06308837993537	9.71148892323544	5.18223234624146	10.0222615964745	3.19869343530911	1.7458942613067	6.35655485155398	4.13440288123107
"Otu004"	"Otu004"	4459	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	0.402619237235643	5.25262631315658	4.62962962962963	4.66076102275015	3.99044541239286	3.58062854198867	13.1874389847055	0.885920676025624	2.86010197578075	3.01964980214331	4.22348275371708	3.64328394859622
"Otu005"	"Otu005"	3822	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.0398194850013273	0.212606303151576	6.25890313390313	2.75820414737266	0.927357032457496	5.43534260690366	11.1861373250895	1.5174231066285	3.31421287444232	1.81552623087244	4.34830697277568	3.12760906932962
"Otu006"	"Otu006"	3635	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.88478895672949	1.65082541270635	1.80733618233618	0.593919871149587	0.463678516228748	15.4559505409583	5.46697038724374	2.72590977238653	3.60101975780752	1.4486846351115	4.386228254515	2.97045101088647
"Otu007"	"Otu007"	3531	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	10.5831342359083	0.675337668834417	1.11289173789174	0.966378095429837	0.800899255304201	0.334878928387429	0.195248942401562	0.890463858979601	2.22673677501593	4.62628012431854	1.25140229739765	2.87795694524024
"Otu008"	"Otu008"	3364	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	1.88036456950712	0.387693846923462	1.5224358974359	1.45963358163882	2.44485035829704	4.55950540958269	3.9619264562317	2.90309390759166	4.4295729764181	1.60663032217523	3.81582897501936	2.75108455430957
"Otu009"	"Otu009"	3054	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.0707901955579152	0.200100050025012	1.89636752136752	1.65089591302597	1.953070113812	5.56414219474498	3.01008786202408	2.94398255417746	5.05895474824729	0.930690715171278	3.95645372813601	2.49815830400262
"Otu010"	"Otu010"	2981	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.07955048225821	3.00150075037519	0.979344729344729	1.21803905778136	0.491780244485036	2.44719216898506	1.46436706801171	5.89705147426287	2.58922880815806	1.2737555408366	3.51245872110477	2.4334943112057
"Otu011"	"Otu011"	2370	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0	0	0	0	0	2.13807315816589	0.732183534005857	6.16055608559357	3.34608030592734	0	3.74314651835232	1.93910125235328
"Otu012"	"Otu012"	2249	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	0	0.507478632478632	1.38916851218039	6.16832935225516	2.55023183925811	1.47250244061178	3.92531007223661	1.86822817080943	1.07674801718721	2.54862614356365	1.83924040271752
"Otu013"	"Otu013"	2175	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	2.32722767896646	0.887943971985993	3.97970085470085	1.03684316488826	0.744695798791626	0.489438433797012	0.0569476082004556	1.83998909636091	2.15503505417463	2.03800886533856	1.53581191044257	1.77785053613817
"Otu014"	"Otu014"	2103	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	1.08397486948058	0.0375187593796898	0.810185185185185	2.59714113146769	2.06547702683715	1.98351365275631	7.27302310445818	0.0545181954477307	1.48581899298916	1.26356549650991	2.14255241827174	1.71891626422199
"Otu015"	"Otu015"	1909	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	0.0840633572250243	0	2.52849002849003	0.140930138916851	0.43557678797246	3.78670788253478	10.0146436706801	0	0.717017208413002	0.591022570948184	2.46172320624437	1.56012114267005
"Otu016"	"Otu016"	1817	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	1.60162817449783	0.100050025012506	0.382834757834758	0.161063015904973	0.632288885766475	2.11231324059763	0.593882199804751	0.377084185180137	4.32998725302741	0.805013501808733	2.09357076269178	1.47253826635017
"Otu017"	"Otu017"	1698	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	2.13697902840457	2.33866933466733	2.25249287749288	0.976444533923898	0.238864690178446	0.0515198351365276	0.154572079401237	2.05351869519786	0.744901210962396	1.76117932779674	1.04283524783138	1.38904804780224
"Otu018"	"Otu018"	1612	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4.07928501902486	0.475237618809405	2.19017094017094	0.543587678679283	0.351271603203597	1.33951571354972	0.92743247640742	0.00454318295397756	0.633365200764818	2.18236782663338	0.515097410292468	1.31865433412458
"Otu019"	"Otu019"	1497	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0.0752145827802849	1.98849424712356	0.186965811965812	0.63418562512583	0.0562034565125755	0.0515198351365276	0.0569476082004556	3.52096678933261	1.78457616316125	0.448361950374484	1.9466257959519	1.22452320536957
"Otu020"	"Otu020"	1493	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	0.398194850013273	0.0375187593796898	0.151353276353276	0.0704650694584256	0.533932836869467	0.334878928387429	0.162707452001302	0.0726909272636409	5.11073932441045	0.263242811772898	2.10463113653241	1.21715642138004
"Otu021"	"Otu021"	1470	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0.274312007786921	4.9399699849925	2.1545584045584	1.18783974229917	1.44723900519882	0.875837197320969	0.520663846404165	1.1948571168961	0.744901210962396	1.56247346342623	0.865869266381204	1.20160432184661
"Otu022"	"Otu022"	1454	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Mucispirillum"	0	7.10355177588794	2.5462962962963	4.66076102275015	1.81256147253056	0	0.0244061178001952	0.00908636590795511	0.0119502868068834	2.45580068273297	0.0126404272464409	1.19014488008513
"Otu023"	"Otu023"	1336	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	0	0	0	0.281860277833702	0.618238021638331	0	0	4.77488528463041	0.844486934353091	0.122280531920314	1.99560745153186	1.09273962511255
"Otu024"	"Otu024"	1272	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	0.176975488894788	2.00100050025013	3.00035612535613	0.936178779947655	0.786848391176057	1.46831530139104	0.097624471200781	1.88996410885466	0.402326322498407	1.16506173468521	0.925911295801798	1.04117213718589
"Otu025"	"Otu025"	1231	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.787540925581807	1.27563781890945	0.943732193732194	0.12079726192873	0	1.57135497166409	1.27725349821022	2.26250511108082	0.458094327597196	0.675939607003957	1.31302438022405	1.00597528034706
"Otu026"	"Otu026"	1168	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	0.530926466684364	0.162581290645323	0.445156695156695	0.936178779947655	2.3043417170156	1.59711488923235	3.37617962902701	0.258961428376721	0.768801784576163	0.747269917290807	1.14869882602032	0.955226323974789
"Otu027"	"Otu027"	1138	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVa"	0.044243872223697	1.30065032516258	0.952635327635328	0.0402657539762432	0.140508641281439	0.128799587841319	0.0488122356003905	3.0166734814411	0.90025493945188	0.399110069462136	1.42362811863041	0.929851845788655
"Otu028"	"Otu028"	1126	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.0044243872223697	9.14207103551776	0.267094017094017	0.895913025971411	0.43557678797246	0	0.105759843800846	0.690563809004589	0.314690885914595	1.49793651602384	0.385533031016448	0.921666530244741
"Otu029"	"Otu029"	1105	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0	2.28864432216108	0.302706552706553	3.86551238171935	6.22453280876774	0.0257599175682638	0	0.00454318295397756	0.227055449330784	1.77306771284455	0.0932231509425019	0.902840304493738
"Otu030"	"Otu030"	1099	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	0.59729227501991	1.08804402201101	0.578703703703704	1.53009865109724	2.03737529858086	0.128799587841319	0.252196550602018	0.504293307891509	1.45793499043977	0.991830981131435	0.810567397178025	0.89792911516739
"Otu031"	"Otu031"	1041	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	0.0088487744447394	0.737868934467234	0.623219373219373	0.654318502113952	1.11001826612337	0.721277691911386	0.309144158802473	0.567897869247195	0.844486934353091	0.467043698306754	0.636761522539462	0.554964393877384
"Otu032"	"Otu032"	988	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	2.26086187063092	0.375187593796898	0.498575498575499	1.23817193476948	0.295068146691021	0.0515198351365276	0.0894890986007159	0.554268320385262	0.446144040790312	1.25847047434656	0.390273191233864	0.808709175738725
"Otu033"	"Otu033"	904	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0	6.4032016008004	2.13675213675214	0.261727400845581	1.68610369537727	0.0257599175682638	0.00813537260006508	0	0.0159337157425112	1.52510996756169	0.0094803204348307	0.739952525169845
"Otu034"	"Otu034"	897	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	0.0044243872223697	4.95247623811906	0.151353276353276	0.63418562512583	0.18266123366587	0.0257599175682638	0.0162707452001302	1.15851165326428	0.593530911408541	0.83218695334658	0.643081736162682	0.734222804289105
"Otu035"	"Otu035"	894	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.0088487744447394	0.325162581290645	0.142450142450142	0.0301993154821824	0.0421525923844316	0	0.0162707452001302	3.61183044841216	0.183237731038878	0.0849170360557735	1.33198502109371	0.73094867807154
"Otu036"	"Otu036"	842	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	2.80063711176002	0.125062531265633	0.454059829059829	0.261727400845581	0.407475059716173	0.0257599175682638	0.0488122356003905	0.136295488619327	0.211121733588273	1.27205720011549	0.14220480652246	0.686747974134403
"Otu037"	"Otu037"	836	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.0353950977789576	0.587793896948474	2.11004273504274	1.53009865109724	4.29956442321203	0.0257599175682638	0.569476082004556	0	0.0517845761631612	1.2737555408366	0.13272448608763	0.682655316362446
"Otu038"	"Otu038"	790	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	0.190248650561897	0.537768884442221	0.827991452991453	0.050332192470304	0.702543206407194	0.463678516228748	0.227790432801822	1.04947526236882	1.1034098151689	0.39741172874102	0.875349586816034	0.64500286486044
"Otu039"	"Otu039"	776	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Terrisporobacter"	1.61490133616494	1.32566283141571	0.961538461538462	0.140930138916851	0.913306168329352	0.0515198351365276	0.0894890986007159	0.308936440870474	0.139420012746973	1.11750819449398	0.183286195073393	0.633543423098961
