"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	7760	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	30.728113262063	25.5064027939464	14.0085887753591	6.4276048714479	8.87064873417722	9.02442819355843	0.397350993377483	0.953803723282004	0.329320917556212	5.36140350877193	16.6872029572258	3.12616621214296	13.3341506988475
"Otu002"	"Otu002"	4677	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.82028315515747	3.22467986030268	5.41981341625944	5.25033829499323	1.39438291139241	14.610238058192	9.40397350993377	1.60882555734314	11.3672496025437	13.2491228070175	3.26401287499686	9.70001435338022	6.19329526745367
"Otu003"	"Otu003"	3284	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.260040450736781	3.59720605355064	0.0444247001332741	4.03247631935047	1.50316455696203	9.53788703905399	5.5364238410596	8.11307745345898	8.05132863956393	3.70526315789474	1.9614253023864	7.17956078656524	3.26829439170491
"Otu004"	"Otu004"	2979	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	1.4013290956371	0.931315483119907	0.90330223604324	4.49255751014885	3.23378164556962	1.49369845962346	3.97350993377483	10.2735003447483	7.98319327731092	3.34035087719298	2.25563909774436	5.9738768479977	2.41881808946649
"Otu005"	"Otu005"	2951	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0.505634209765964	0.325960419091967	1.51043980453132	3.42354533152909	2.30419303797468	9.78683678232457	5.00662251655629	6.63065961847851	4.81489893254599	6.75087719298246	1.63703573314557	6.60255490167935	3.41542018425754
"Otu006"	"Otu006"	2817	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	2.22479052297024	6.32130384167637	1.25869983710943	3.80243572395129	1.60205696202532	0.949120896219076	3.1523178807947	7.64192139737991	1.65796048148989	8.43508771929825	3.08044358387608	4.57011626237979	3.5135040459593
"Otu007"	"Otu007"	2186	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	6.15429066743716	3.49243306169965	6.53043091959129	3.45060893098782	2.20530063291139	3.85872102069395	1.77483443708609	0.827396000919329	0.0567794685441744	2.06315789473684	4.13659566977645	1.54729438782833	3.69040529652853
"Otu008"	"Otu008"	2136	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.895694885871135	1.33876600698487	0.281356434177403	0.974289580514208	4.26226265822785	5.02567294227478	7.86754966887417	3.6543323373937	3.17965023847377	3.07368421052632	1.75773882867704	4.12516147552749	2.69380320173749
"Otu009"	"Otu009"	1802	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	0.0433400751227969	20.7566938300349	0.177698800533096	0.013531799729364	0	0.0155593589544111	0	0	0	0	4.52385143460658	0.00287067604420841	3.15269555469927
"Otu010"	"Otu010"	1743	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.621207743426755	0.372526193247963	9.12187176069895	1.89445196211096	0.395569620253165	1.33810487007935	1.72185430463576	2.68903700298782	1.85101067454009	4.54736842105263	2.19025825433148	2.50322951054973	2.3575156759029
