"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	4853	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	6.66908826734472	1.01660454083362	5.50909985243483	7.07290533188248	2.56744428515574	13.9776951672862	5.90540660906743	2.37388724035608	6.88606194690266	4.37186489800468	7.44392535425754	5.79559319600947
"Otu002"	"Otu002"	3723	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	5.23065746458409	0.0338868180277872	4.09903262829972	1.75915850562205	1.27720578652418	10.7971912432879	8.53300080163891	0.135650699448919	7.46681415929204	2.60617545424144	6.58441524920631	4.44986722170387
"Otu003"	"Otu003"	2657	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.857246640029059	2.34666214842426	1.5412362682407	3.59085963003264	1.81154698292715	3.2300702189178	3.7587957602209	7.22339974565494	4.36946902654867	1.84148924311671	4.70536613065586	3.16873609416493
"Otu004"	"Otu004"	2556	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	1.43116600072648	0.118603863097255	4.95163141498606	0.308306129851288	0.247621530040401	12.0776538620405	3.69644606751581	0.0339126748622298	3.40154867256637	1.22394381897224	5.17254729886689	3.05390081102419
"Otu005"	"Otu005"	2528	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	0.443152924082819	7.77702473737716	2.37743892441384	2.50272034820457	2.84113123941092	1.42916150351095	2.1555179478044	4.47647308181433	1.54867256637168	3.29952067773938	2.57853031515371	2.96538194693653
"Otu006"	"Otu006"	2280	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	6.7490010897203	0.0931887495764148	11.1493687489752	1.03373231773667	4.66571093444546	1.97439074762495	0	0	0.110619469026549	4.53684093189165	0.627210076659009	2.72494557286059
"Otu007"	"Otu007"	2207	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	0.0581184162731566	8.598780074551	0.950975569765535	2.32136380123322	4.09227160172032	0.0413052457662123	2.72557228110804	2.97583721916066	0.138274336283186	3.39538512986289	1.72160132152905	2.61967989664825
"Otu008"	"Otu008"	2003	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	2.09226298583364	0.372754998305659	1.19691752746352	3.64526659412405	4.67874364655285	6.91449814126394	0.997595083281375	0.245866892751166	1.63163716814159	2.15137665812061	2.67661254936376	2.39479413383095
"Otu009"	"Otu009"	1919	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	1.10424990918997	6.80277871907828	1.5248401377275	1.5233949945593	1.43359833181285	0.429574555968608	2.89480716130756	2.06867316659602	1.49336283185841	2.76892208226508	1.74225021294169	2.29311706021675
"Otu010"	"Otu010"	1800	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0.225208863058482	0.23720772619451	4.01705197573373	0.888647080159594	2.22859377036361	0.190004130524577	0.596775630177251	7.97795676133955	6.72013274336283	1.16820867238881	3.28833595746328	2.15076915715687
