"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	5242	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	30.2072120559742	10.1580135440181	14.4149727317799	4.23106434286967	1.86822016874247	8.63930885529158	0.145331234104396	0.760167236792094	0.356277611514892	3.91074856046065	12.5568971626373	2.07820996848048	9.65071976877311
"Otu002"	"Otu002"	2799	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.40419806243272	3.6117381489842	3.8795240456123	4.46125178121232	0.482121333869024	11.7830573554116	4.74748698074361	1.21626757886735	4.33233575602109	7.07773512476008	3.41519256452888	5.35485435211804	4.56260205326477
"Otu003"	"Otu003"	2655	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.618945102260495	3.44243792325056	0.037183936539415	5.77660857174175	1.00441944556047	10.247180225582	5.48625408744096	4.71303686811098	5.92845945560781	5.71017274472169	2.37128294584208	6.17228360638703	3.73116120192939
"Otu004"	"Otu004"	2626	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	1.27825618945102	1.50959367945824	0.421417947446703	9.66787241039132	4.43953394937726	2.06383489320854	4.11771829962456	7.63968072976055	4.57460453185122	3.28694817658349	3.64959524653166	4.45429669910983	3.56975281995458
"Otu005"	"Otu005"	2540	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	1.7491926803014	3.936230248307	1.07833415964303	4.13241258357996	2.7922860586581	0.503959683225342	5.13503693835534	6.25237552261498	4.58885563631181	10.3646833013436	2.75831993240481	5.29250805306363	3.54535387849327
"Otu006"	"Otu006"	2190	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	3.68675995694295	5.93961625282167	11.9732275656916	1.95111257261866	0.321414222579349	3.1197504199664	0.641879617294417	0.532117065754466	0.598546387345019	1.91938579654511	5.05601133854834	1.15340653250667	3.97515061654248
"Otu007"	"Otu007"	2107	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0.376749192680301	1.08634311512415	1.82201289043133	4.64759399320399	1.66733627963037	6.71946244300456	4.23882766137822	3.62979855568225	3.67678495083369	6.45393474088292	2.06873994930361	4.66904506251948	3.11180345714232
"Otu008"	"Otu008"	2082	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.251345532831	1.59424379232506	0.334655428854735	1.70996382768826	4.41944556046605	4.31965442764579	8.42921157805498	3.81984036488027	3.14949408579165	4.19865642994242	1.65989806208945	5.10200547261958	3.11555714044406
"Otu009"	"Otu009"	1963	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	1.57427341227126	4.50056433408578	1.73525037183937	2.90474624575249	5.18280433909201	0.863930885529158	4.46893544871019	1.38730520714557	5.44392190394756	0.0959692898272553	2.99544822698902	2.99262235461189	2.83027720951183
"Otu010"	"Otu010"	1741	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Mucispirillum"	7.66953713670614	12.7821670428894	2.36737729300942	0.153458292228434	0.441944556046605	0.0479961603071754	0.0121109361753664	0.0190041809198024	0.484537551660254	0	4.64171822617133	0.131619964670431	3.20189185638408
"Otu011"	"Otu011"	1568	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	0.376749192680301	0.239841986455982	0.123946455131383	2.79513317987504	7.81438328646043	0.191984641228702	10.3669613661136	0.0190041809198024	0.0142511044605957	0.0719769673704415	1.90520319441795	3.0099407710159	2.93913402526229
"Otu012"	"Otu012"	1557	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.834230355220667	1.04401805869075	8.61427863163114	2.40052614271621	0.381679389312977	1.5598752099832	1.71975293690202	2.09045990117826	0.327775402593701	3.55086372360845	2.91367984954619	1.69027744103079	2.67262251083876
"Otu013"	"Otu013"	1446	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.0807319698600646	0.451467268623025	0.656916212196331	0.142496985640688	9.4817195660908	0.31197504199664	5.95858059828025	1.14025085518814	4.16132250249394	0.31190019193858	1.56995284690234	3.0134044542967	2.05326476605169
"Otu014"	"Otu014"	1426	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	11.5177610333692	0.775959367945824	0.161130391670798	0.186342211991669	0.160707111289675	2.06383489320854	0.859876468451011	1.82440136830103	1.48211486390195	2.85508637236084	2.58660633977486	1.64871324166118	2.29913102231565
"Otu015"	"Otu015"	1348	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.484391819160388	0.395033860045147	1.28904313336639	3.85837991888633	0.642828445158698	4.31965442764579	0.750878042872714	3.53477765108324	2.6364543252102	4.39059500959693	1.50453814494808	2.75709189151744	1.83367429289991
"Otu016"	"Otu016"	1110	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	0.0941872981700753	14.7996613995485	0.619732275656916	0	0	0.0479961603071754	0	0	0	0	3.01452751505901	0.00692736656160161	2.07954054916387
"Otu017"	"Otu017"	1077	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0	1.53781038374718	0	0.0219226131754905	0	0.479961603071754	1.71975293690202	0.72215887495249	9.09220464586005	3.07101727447217	0.302542996538472	3.34591804925358	0.752613501998836
"Otu018"	"Otu018"	1048	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	12.4058127018299	1.50959367945824	0.0619732275656916	0.043845226350981	0	0	0	0.0760167236792094	0.0855066267635742	0	2.82918585952193	0.034636832808008	1.94816163360297
"Otu019"	"Otu019"	833	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	0.0941872981700753	0.141083521444695	0.52057511155181	0.811136687493149	0.341502611490558	1.10391168706503	1.32009204311493	4.97909540098822	3.56277611514892	0.383877159309021	0.408841887214151	2.36569568078695	0.602466169929243
"Otu020"	"Otu020"	806	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.296017222820237	0.59255079006772	0.0991571641051066	0.263071358105886	1.96866211329851	1.53587712982961	0.847765532275645	4.58000760167237	2.16616787801055	2.01535508637236	0.528768840796969	2.11631048456929	0.773258760158405
"Otu021"	"Otu021"	803	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	2.46232508073197	1.26975169300226	0.545364402578086	0.559026635975008	0.441944556046605	2.78377729781617	1.96197166040935	0.798175598631699	0.954823998859912	0.623800383877159	1.06298890675679	1.43050119497073	1.30252810570372
"Otu022"	"Otu022"	796	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVa"	0.0269106566200215	0.0987584650112867	1.31383242439266	0	0	4.79961603071754	0.750878042872714	2.26149752945648	0.356277611514892	6.5978886756238	0.313445446864183	2.35876831422535	1.22370075636719
"Otu023"	"Otu023"	761	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0.107642626480086	0.141083521444695	0.185919682697075	5.28334977529321	0.381679389312977	1.96784257259419	0.726656170521981	0.437096161155454	0.0285022089211914	1.43953934740883	1.45547711848238	0.786256104741782	1.38135545504026
