"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	22356	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	6.27769571639586	20.0889665581063	4.29220552254456	26.9451052956208	21.9475655430712	28.9169295478444	9.45465624047933	8.22711471610661	12.6083450917154	18.015065913371	12.3268998420025	15.4686286475092
"Otu002"	"Otu002"	21933	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	1.98178237321516	2.52204305345937	0.643131772107655	8.16812053925456	1.10219368646335	2.18191377497371	32.1925459530822	33.1134682235493	30.4928441846402	3.57187696170747	29.5393289754949	15.1967990680129
"Otu003"	"Otu003"	12180	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	4.08665681930084	7.24839145285567	0.873820342537574	22.9315358181338	5.59657570893526	14.2218717139853	9.32263633593988	4.5547731526874	5.50544245111873	10.0564971751412	6.43607298863038	8.43573172084766
"Otu004"	"Otu004"	11570	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	1.05859182668636	0.401143855747081	0.195735756728417	3.52013393250507	0.492241840556447	0.499474237644585	5.4128160861176	17.5149300294144	20.1244708728079	1.3308223477715	16.27064035441	8.01897259514035
"Otu005"	"Otu005"	9815	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	2.84342688330872	14.0837238859322	3.19468717231737	0.920785972332364	18.2771535580524	16.6140904311251	5.15893165431096	0.338711115072645	6.22354364039508	7.72253609541745	5.65073267449425	6.79504604460224
"Otu006"	"Otu006"	3396	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.98818316100443	2.26388116609739	1.80356518699755	0.621200105736188	0.952380952380952	1.62986330178759	4.89489184523205	1.96987253765933	3.12688973997178	1.73509102322662	3.10728337309086	2.3493842227893
"Otu007"	"Otu007"	2657	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.41555883801083	0.750655334021765	3.31352673890248	1.28205128205128	1.12359550561798	8.22818086225026	4.78318269523713	0.784383634905072	1.52439024390244	1.47394852479598	2.2878651755011	1.8383168756241
"Otu008"	"Otu008"	2520	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.406203840472674	0.655334021765033	0.125830129325411	2.48039474843599	1.43392188336009	2.49737118822292	1.09678074540469	0.374364916659239	3.43176778875227	1.14626490897677	2.48923448681806	1.74747586819039
"Otu009"	"Otu009"	2421	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	0.664697193500739	1.25506394471364	0.0838867528836071	7.2605515904485	1.74424826110219	2.10304942166141	0.0203107545445313	0.445672519832427	0.234327756500706	2.75329566854991	0.348523808048576	1.67674470209697
"Otu010"	"Otu010"	2398	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.849335302806499	2.12487091905632	0.629150646627053	2.84606573266367	2.45050829320492	1.34069400630915	5.0878440134051	0.641768428558695	0.516528925619835	1.969868173258	1.2841166083212	1.66287584600022
