"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL10"	"CONTROL11"	"CONTROL12"	"CONTROL13"	"GOS10"	"GOS11"	"GOS12"	"GOS9"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	20807	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	20	35.330227054212	31.2932839426639	7.79619398403929	55.4602748217791	25.6686201385189	11.1167002012072	38.0909683730029	28.2548284007225	38.0282112845138	33.4981000837251
"Otu002"	"Otu002"	8358	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	30.6034482758621	4.17868500850529	11.4994363021421	33.2105586249233	6.86021283190412	23.1220031965903	10.5130784708249	9.55330942288882	14.3670974016952	12.6500600240096	13.4459328910929
"Otu003"	"Otu003"	4522	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.89655172413793	4.17128910583537	0.756965694958931	32.4125230202578	1.89069118710611	12.7117741076185	14.0845070422535	7.93120313009456	6.57565652355148	7.89015606242497	7.28086558897405
"Otu004"	"Otu004"	4076	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	2.70689655172414	5.16234006360476	5.23433725237558	0.859422958870473	8.27564831077591	9.99467234949387	10.1609657947686	7.55624388653407	4.19619285813533	8.60744297719088	6.56276164101243
"Otu005"	"Otu005"	2632	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	6.31034482758621	9.48154722283855	4.31631502657433	0.0306936771025169	1.98367599958673	0.340969632392115	0.100603621730382	3.985979784806	6.65902459358066	2.14585834333734	4.23777935209635
"Otu006"	"Otu006"	1901	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	4.17241379310345	2.17439538495673	9.695603156708	2.27133210558625	1.99400764541791	3.09003729355354	3.62173038229376	1.09227257906749	4.21008753647353	2.06782713085234	3.06079732079603
"Otu007"	"Otu007"	1863	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	7.32758620689655	2.71429627986096	2.01320663552907	1.04358502148557	3.2441367909908	0.863079381992541	0.804828973843058	4.06749266384089	3.30345977490621	2.73109243697479	2.99639337927481
"Otu008"	"Otu008"	1689	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	2.55172413793103	5.08098513423563	0.901916572717024	0.705954573357888	0.444260770740779	5.09323388385722	4.82897384305835	1.25529833713727	3.17493400027789	2.31392557022809	2.71301603658144
"Otu009"	"Otu009"	1503	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.896551724137931	3.29117668811478	9.01916572717024	0.613873542050338	0.309949374935427	3.04741608950453	0.100603621730382	0.872187805673296	3.7411421425594	1.27551020408163	2.41836800412185
"Otu010"	"Otu010"	1337	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.913793103448276	0.273648398787072	0.434852633274279	6.9060773480663	1.43609877053415	4.54981353223229	3.26961770623742	2.95891750896642	1.1879949979158	2.98319327731092	2.15109164680878
