"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	10666	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	16.5236851920925	18.1017093109672	20.836671117045	20.0831024930748	18.3136550308008	8.24230387288977	7.05226480836237	25.5356826633611	8.30200501253133	0.772200772200772	18.7942480585973	11.6597865877405	16.4384897417895
"Otu002"	"Otu002"	7254	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	12.5202039040159	12.3898503025799	20.1602136181575	26.2234533702678	11.8711498973306	6.28930817610063	2.13240418118467	6.28652381795644	0.56390977443609	0.386100386100386	15.9231767962568	2.93247137627541	13.3473749902489
"Otu003"	"Otu003"	5842	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	7.38530399104812	13.7594224439962	10.9390298175345	10.8494921514312	9.74075975359343	17.3783515392254	4.45993031358885	5.56047458827696	3.1015037593985	14.6718146718147	10.6513804169423	5.81821014097671	10.2016537951478
"Otu004"	"Otu004"	5606	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4.31431058062912	20.1295254273277	4.93101913662661	14.4967682363804	10.9086242299795	5.69347898047004	0.794425087108014	9.31468036125376	5.94193817878028	2.7027027027027	10.4725508929228	5.18342550042838	8.79748810359622
"Otu005"	"Otu005"	4701	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	45.1945791371379	1.42265633294405	6.2572318647085	0.346260387811634	0.359342915811088	0.165508109897385	0.0418118466898955	0.301044802550027	1.21136173767753	3.86100386100386	11.0604835746307	0.588052028974219	8.84039316639363
"Otu006"	"Otu006"	3182	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	1.33034937212483	3.96008068797112	11.6777926123721	2.8393351800554	2.72073921971253	4.53492221118835	6.66202090592335	6.33964937134762	0.522138680033417	11.5830115830116	5.21055339163666	4.10078666562816	5.40603791247367
"Otu007"	"Otu007"	3174	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	0.41029466616934	1.4332731712496	7.27191811303961	1.17728531855956	1.88655030800821	3.17775571002979	12.7247386759582	7.59695413493891	5.74352548036759	1.15830115830116	2.89801817691874	7.75371913700444	4.28075512910523
"Otu008"	"Otu008"	3144	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.97687430063409	5.96666312772056	0.0801068090787717	0.507848568790397	2.65657084188912	20.0595829195631	16.1951219512195	1.82397733309722	3.15371762740184	3.47490347490348	2.34928100732466	8.49754653789236	5.33582962789609
"Otu009"	"Otu009"	2506	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.93248787765759	2.76037795944368	1.08589230084557	3.94736842105263	3.40092402464066	2.54882489241973	0.222996515679443	1.7885602975031	14.797410192147	0.772200772200772	2.18759951985498	6.28164187241997	1.92682736562914
"Otu010"	"Otu010"	2444	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.522193211488251	1.90041405669392	0.133511348464619	0.369344413665743	11.0754620123203	4.70043032108573	12.5435540069686	1.29272179918541	2.14076858813701	3.47490347490348	2.73143725043482	5.1756367318327	4.22419845541774
"Otu011"	"Otu011"	1604	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.198930747233619	1.15723537530523	0.0890075656430797	0.253924284395199	12.217659137577	0.595829195630586	1.58885017421603	1.75314326190898	2.79866332497911	2.31660231660232	2.68979201881385	1.96666407041047	2.41048443716359
"Otu012"	"Otu012"	1514	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	1.0692527663807	2.14460133772163	1.32621272808189	2.95475530932595	1.00102669404517	3.11155246607084	3.0801393728223	4.67504869842394	2.58980785296575	16.988416988417	1.57516964307587	3.39200872342083	1.95413058740931
"Otu013"	"Otu013"	1464	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.895188362551287	0.583926106805393	1.07699154428126	2.79316712834718	3.02874743326489	6.98444223766965	2.73170731707317	4.26775278909155	2.15121136173768	1.93050193050193	1.48208030180544	3.34527611184672	1.98338403931664
"Otu014"	"Otu014"	1276	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.733557130423971	0.73256184308313	0.169114374721851	0.392428439519852	2.19455852156057	4.40251572327044	9.54703832752613	0.690632194085355	0.856307435254804	0.772200772200772	0.820656034884006	3.6646156242698	2.25251579686403
"Otu015"	"Otu015"	1013	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	0.111898545318911	0.360972502388789	2.87494437027147	0.300092336103416	0.577515400410678	1.15855676928169	2.25783972125436	6.62298565610058	0.177527151211362	0.386100386100386	1.03868107101737	2.29379235142924	1.21304313909041
"Otu016"	"Otu016"	1001	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.609225413402959	1.92164773330502	0.498442367601246	1.68513388734995	1.20636550308008	0.66203243958954	0.181184668989547	1.62918363732956	4.41729323308271	0	1.10972293672375	2.1341225952177	0.947811841797332
"Otu017"	"Otu017"	601	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.323262464254631	0.743178681388682	0.124610591900312	0.323176361957525	0.37217659137577	1.09235352532274	3.91637630662021	0.495838498317691	1.03383458646617	2.7027027027027	0.374807084588815	1.74468416543344	0.924409080271472
"Otu018"	"Otu018"	597	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.360561979360935	0.254804119333263	0.0801068090787717	0.0923361034164358	0.462012320328542	1.68818272095333	3.21951219512195	2.054188064459	0.710108604845447	10.8108108108108	0.249871389725876	1.9238258431342	0.803494812387862
"Otu019"	"Otu019"	431	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.198930747233619	0.498991400360973	0.329327992879395	0.115420129270545	0.0898357289527721	0	0.0557491289198606	0.0885425889853019	3.19548872180451	1.54440154440154	0.274368584797041	1.24230859101176	0.2340276152586
"Otu020"	"Otu020"	392	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.41029466616934	0.615776621722051	0.222518914107699	0.923361034164358	0.436344969199179	0.66203243958954	0.0696864111498258	0.726049229679476	1.42021720969089	0	0.465446706352123	0.786665628164187	0.419299477338326
"Otu021"	"Otu021"	383	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.509760039786149	1.28463743497187	0.462839341344014	1.01569713758079	0.603182751540041	0.66203243958954	0.195121951219512	0.46042146272357	0.156641604010025	1.15830115830116	0.747164449670513	0.303761975231716	0.666978703487011
"Otu022"	"Otu022"	338	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	0.0248663434042024	2.95148104894362	0.400534045393859	0.0692520775623269	0.0641683778234086	0	0.0139372822299652	0	0	0.772200772200772	0.815756595869773	0.0116831528935275	0.655277322724081
"Otu023"	"Otu023"	322	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	0	0.2017199278055	0.302625723186471	0.0692520775623269	0.0513347022587269	0.033101621979477	0.0139372822299652	0.0177085177970604	2.7046783625731	0	0.146983170426986	1.02032868603474	0.12091426788361
"Otu024"	"Otu024"	303	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	0.0248663434042024	0.053084191527763	0.258121940364931	0.115420129270545	0.154004106776181	0.099304865938431	0.473867595818815	1.08021958562068	1.58730158730159	0	0.129835133877171	0.973596074460628	0.17552071144395
"Otu025"	"Otu025"	293	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0	0.0637010298333156	0	0.023084025854109	0.0385010266940452	0.496524329692155	0.0557491289198606	0.743757747476536	2.3078529657477	0.386100386100386	0.0244971950711643	1.10211075628943	0.0585069038146501
"Otu026"	"Otu026"	292	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	0.0248663434042024	0	0	0	0.0256673511293635	0.033101621979477	3.98606271777003	0.0177085177970604	0	0	0.00979887802846574	1.12158267777864	0.567516967002106
"Otu027"	"Otu027"	277	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.0248663434042024	0.0318505149166578	0.0712060525144637	0	0.0641683778234086	0	0.0139372822299652	0	2.69423558897243	0	0.0440949511280958	1.00864553314121	0.0370543724159451
"Otu028"	"Otu028"	255	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	0.447594181275643	0.2017199278055	1.53093012906097	0.0923361034164358	0.192505133470226	0	0.0278745644599303	0.0885425889853019	0.0208855472013367	0	0.602630998750643	0.0350494586805826	0.483657071534441
"Otu029"	"Otu029"	251	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.0372995151063036	0.0106168383055526	0.0356030262572319	0	0	0	0.0139372822299652	0.0177085177970604	2.51670843776107	0	0.0195977560569315	0.94633538437573	0.017552071144395
"Otu030"	"Otu030"	243	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.21136391893572	0.456524047138762	0.169114374721851	1.5466297322253	0.885523613963039	0.033101621979477	0.0139372822299652	0.0177085177970604	0.261069340016708	0	0.526689694030034	0.10904276033959	0.423199937592636
"Otu031"	"Otu031"	218	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0.0124331717021012	0.159252574583289	0	0	0	0	0.0139372822299652	0	2.09899749373434	0	0.039195512113863	0.786665628164187	0.0331539121616351
"Otu032"	"Otu032"	215	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	0.820589332338679	0	0	2.8393351800554	0	0.827540549486925	0	0	0	0	0.462996986845006	0.0973596074460628	0.417349247211171
"Otu033"	"Otu033"	209	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0	0.159252574583289	0.0801068090787717	0.138504155124654	0.154004106776181	0.231711353856339	0	0.159376660173543	1.57685881370092	0	0.10288821929889	0.650362177739699	0.0955612762305952
"Otu034"	"Otu034"	175	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	0.0248663434042024	0.0955515447499735	0.160213618157543	0.0692520775623269	0.0898357289527721	0	0	0.0177085177970604	1.38888888888889	0.386100386100386	0.095539060777541	0.525741880208739	0.0780092050862002
"Otu035"	"Otu035"	170	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Leptotrichia"	0.0124331717021012	0.0106168383055526	0.195816644414775	0.115420129270545	0.0513347022587269	0.132406487917908	0.43205574912892	0.44271294492651	0.804093567251462	0	0.0808407437348424	0.533530648804424	0.13261564864654
"Otu036"	"Otu036"	155	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.0248663434042024	0.0424673532222104	0.0623052959501558	0.023084025854109	0.0385010266940452	0	0	0	1.43065998329156	0.386100386100386	0.0416452316209794	0.537425033102267	0.0351041422887901
"Otu037"	"Otu037"	149	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0.0372995151063036	0.0955515447499735	0.0534045393858478	0.023084025854109	0.0256673511293635	0	0	0.0354170355941208	1.26357560568087	1.93050193050193	0.0514441096494451	0.498481190123841	0.0507059833060301
"Otu038"	"Otu038"	147	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Acidaminococcus"	0.0124331717021012	0.0424673532222104	0.178015131286159	0.0461680517082179	0.0641683778234086	0.033101621979477	1.15679442508711	0.513547016114751	0.0208855472013367	0	0.0783910242277259	0.447854194251889	0.226226694749981
"Otu039"	"Otu039"	136	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_unclassified"	"Clostridiales_unclassified"	0	0	0	0	0	0	0	0	1.42021720969089	0	0	0.529636264506582	0
"Otu040"	"Otu040"	126	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.111898545318911	0.148635736277736	0.0178015131286159	0.277008310249307	0.0385010266940452	0.397219463753724	0.0975609756097561	0.371878873738268	0.469924812030075	0.386100386100386	0.0979887802846574	0.334917049614456	0.1170138076293
"Otu041"	"Otu041"	119	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	0.0124331717021012	0	0.747663551401869	0.023084025854109	0.0128336755646817	0	0.278745644599303	0.212502213564725	0	0	0.21312559711913	0.12462029753096	0.208674623605585
"Otu042"	"Otu042"	114	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.0870322019147084	0.053084191527763	0.694259012016021	0	0.0128336755646817	0	0.167247386759582	0.194793695767664	0	0	0.222924475147596	0.0895708388503778	0.200873703096965
"Otu043"	"Otu043"	100	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.223797090637822	0.520225076972078	0.0356030262572319	0.43859649122807	0.0513347022587269	0.066203243958954	0.0278745644599303	0.0354170355941208	0	0	0.230273633668945	0.0233663057870551	0.19112255246119
"Otu044"	"Otu044"	99	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Rothia"	0	0	0.498442367601246	0.023084025854109	0.0513347022587269	0	0.125435540069686	0.230210731361785	0.167084377610693	0	0.149432889934103	0.147986603318015	0.13651610890085
"Otu045"	"Otu045"	95	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.0372995151063036	0.0318505149166578	0.0356030262572319	0.138504155124654	0.0256673511293635	0.297914597815293	0.0418118466898955	0.159376660173543	0.584795321637427	0	0.0440949511280958	0.299867590933873	0.0585069038146501
