"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	46476	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	9.74970695718127	34.2252396166134	12.7208480565371	31.1033519553073	25.5058852605888	29.6510870980341	18.9943133479604	16.5956929066796	1.83536252952935	26.0152572045391	18.8351039555098	22.7064646444886
"Otu002"	"Otu002"	33200	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	20.5061021857547	9.93794544114033	2.10943355819681	20.6378026070763	23.0776360097624	21.0617107147507	17.9151927640711	12.6171067039786	7.81997698225211	16.6078571882115	15.7859545970729	16.229104105328
"Otu003"	"Otu003"	12865	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	14.4039164310832	4.86913246497911	2.15226469643431	10.2234636871508	8.72748617504402	6.15479755240203	3.21497335781131	4.38415054548404	1.59912774850082	8.06944658617781	4.19642762382858	6.28466346483034
"Otu004"	"Otu004"	8292	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	1.40660552989037	1.08134676824773	1.82032337509369	0.954376163873371	2.12240106274522	0.57609686238771	5.87919222674965	15.1194386989496	8.71040038766733	1.46766688134394	7.06409263131083	4.04663856093434
"Otu005"	"Otu005"	7633	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	1.42729090532993	7.25915458343573	0.610343719884356	3.32402234636871	4.94300101949396	4.29957036844161	4.0388662517351	1.0057995701018	1.33260645708401	4.48191721923387	2.85599057554949	3.73264992712725
"Otu006"	"Otu006"	7456	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	1.7375715369234	3.36692061931679	0.792376057393725	1.29422718808194	2.32012110352498	2.59731805754459	4.70156270989119	12.0249827635154	1.14483009267672	2.22327041172682	5.30868259342199	3.6451048096016
"Otu007"	"Otu007"	7033	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.08253464800386	3.13959203735562	2.31288146482493	1.98324022346369	1.25428650869659	6.44121859132925	4.50006716518157	4.97221884251937	3.57380822581622	2.02008290775832	5.09429757065685	3.43675721146792
"Otu008"	"Otu008"	6723	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	2.17196442115424	3.24404030474318	3.22304315237177	0.428305400372439	1.01640458463345	3.95456320791564	5.53888864012896	5.00871963336983	5.66357744260706	1.89853324020573	4.90538403574499	3.2841646043841
"Otu009"	"Otu009"	5717	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	0.289595256153899	1.36089948390268	0.492558089731235	0.656424581005587	3.02140937316568	4.91472464522849	9.79716115165898	0.506955428478728	1.46586710279242	1.49669366762516	4.31423325515002	2.79508573552571
"Otu010"	"Otu010"	4857	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Terrisporobacter"	1.3514445287182	6.58638486114524	0.48185030517186	0.502793296089385	4.46723717136767	2.43783361541466	0.188062508395648	0.45423206391694	0.07874492700951	3.57301597380333	0.972161786400348	2.37447790830749
"Otu011"	"Otu011"	3327	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	0.289595256153899	0.138240353895306	0.631759289003105	0.251396648044693	0.367635700824863	0.149720088530139	2.71347333542292	7.12982114612483	3.58592282997153	0.289360775740863	3.1860586056483	1.62423092347872
"Otu012"	"Otu012"	3269	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	6.46073226229056	0.970754485131482	0.149908983831245	2.05772811918063	2.70011430689858	1.35399036583778	0	1.07068986494707	0.0181719062329638	2.34300590513683	0.724876091824714	1.59733158569151
"Otu013"	"Otu013"	3252	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	2.20644004688685	1.72954042762349	0.64246707356248	2.06703910614525	1.91850227069109	0.683504751985419	2.70899565665159	1.42353084316827	0.47246956205706	1.82143083914625	1.32027212039523	1.59048448152749
"Otu014"	"Otu014"	3128	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.5096186995794	3.11501597444089	1.23139522432809	0.907821229050279	0.63023262998548	0.45892461919021	1.86271436887118	1.35052926146733	1.21146041553092	1.8477363642136	1.15683007333666	1.52934962292019
"Otu015"	"Otu015"	2887	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.22733227608081	2.10432538707299	1.06007067137809	0.074487895716946	0.142111279310451	1.19450592370785	2.71795101419424	2.97278663259926	0.93282451995881	0.928857160998884	1.97510162062341	1.41099253665646
"Otu016"	"Otu016"	2883	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.910156519340826	0.718849840255591	0.781668272834351	0.363128491620112	0.506657604498131	2.97161827886994	4.03438857296378	0.892241554122562	0.981282936580047	0.61772629554711	2.33064113857551	1.40707990570559
"Otu017"	"Otu017"	2681	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	5.52299524236365	1.3701155074957	1.19927187064996	0.339851024208566	1.65590534153048	1.58833485223278	0.461200913446469	0.00405564342782983	0.726876249318553	1.78514735629473	0.755654139647432	1.31073136854049
"Otu018"	"Otu018"	2527	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.861890643315176	1.56365200294913	3.19091979869365	1.00093109869646	0.824863295128055	0.283166254393959	0.111941969283124	0.308228900515067	5.58483251559755	1.28262111880119	1.1780563132144	1.23443506499858
"Otu019"	"Otu019"	1917	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Leptotrichia"	0.00689512514652141	0	0	0.00931098696461825	0	2.40203098554876	1.22240630457171	3.32562761082046	0.502756072445333	0.00272126121386392	2.03135115629942	0.937564191601538
"Otu020"	"Otu020"	1807	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	3.86816520719851	1.68653231752273	0.439019166934361	0.377094972067039	1.07819209737712	0.172503580262987	0.125375005597098	0.547511862757026	0.0424011145435823	1.43410465970629	0.236672574636766	0.882298279420539
"Otu021"	"Otu021"	1679	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.37212990415776	0.599041533546326	0.460434736053111	0.251396648044693	0.188451913868207	1.38328342663716	1.6522634666189	1.05041164780792	0.436125749591132	0.500712063350961	1.1939759931227	0.820185263075524
"Otu022"	"Otu022"	1531	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	0.0827415017582569	0.0337920865077415	0.406895813256237	6.08472998137803	0.120485649850165	0.152974873063403	0.0940312541978238	0.186559597680172	0.0424011145435823	1.27627150930218	0.128418751260308	0.747312511615623
"Otu023"	"Otu023"	1521	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	1.04805902227125	0.310272794298353	4.16532819359674	0.256052141527002	1.55395594550341	0.253873193594584	0.0985089329691488	0.166281380541023	1.07214246774487	1.08850448554557	0.337497214056016	0.742421722927039
"Otu024"	"Otu024"	1448	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	0.0965317520512997	0.175104448267388	8.89816896884035	0.325884543761639	0.0247150050974698	0.0423121989324307	0.0179107150852998	0.0486677211339579	2.61069719546914	0.888945329862213	0.488203517187948	0.704273571156085
"Otu025"	"Otu025"	1277	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	1.1928566503482	0.297984762840993	0.214155691187493	0.754189944134078	0.664215761994501	0.70954302825153	0.770160748667891	0.559678793040516	0.496698770367678	0.605027076549078	0.647400316270974	0.624553715532167
"Otu026"	"Otu026"	1268	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Mitsuokella"	0.689512514652141	0.205824526910789	0.546097012528108	0.861266294227188	2.67230992616392	0	0	0	0	1.15018640639315	0	0.620152005712441
"Otu027"	"Otu027"	1198	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	0.186168378956078	0.0245760629147211	0.674590427240604	0.00931098696461825	0.00926812691155117	0.0716052597318058	2.82989298347737	0.00405564342782983	0.466412259979405	0.0934299683426612	0.776880379525169	0.408380855496757
"Otu028"	"Otu028"	1156	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.0206853754395642	0.046080117965102	2.09872577363743	0.00465549348230912	0.0123575025487349	0.0227834917328473	0.00447767877132495	0.0283895039948088	5.57271791144224	0.198652068612066	0.992326714284198	0.564397014662585
"Otu029"	"Otu029"	1075	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	0.461973384816934	1.02297861882526	1.62758325302495	0.535381750465549	0.704377645277889	0.0716052597318058	0.0447767877132495	0.0567790079896175	0.805621176328064	0.811842928802736	0.189974846905745	0.525270705153913
"Otu030"	"Otu030"	1068	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0.137902502930428	0.159744408945687	0.107077845593747	0.0512104283054004	0.318205690629924	0.706288243718266	0.900013433036314	1.6993145962607	0.193833666484948	0.177789065972443	0.922280122687666	0.520868995334188
"Otu031"	"Otu031"	1017	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Rothia"	1.94442529131904	0.24268862128287	0.0535389227968733	1.99720670391061	0.395440081559517	0.0781148287983335	0.170151793310348	0.125724946262725	0.00605730207765461	0.837241366798799	0.0997633274253632	0.497393209628985
"Otu032"	"Otu032"	838	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	0.00614401572868026	1.89527786700932	0.0186219739292365	0.0123575025487349	0.0130191381330556	0.0358214301705996	0	3.86455872554364	0.169625282330851	0.689852796026448	0.409359013234474
"Otu033"	"Otu033"	816	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	0.330966007033028	0.780289997542394	0.353356890459364	0.563314711359404	0.271865056072168	0.0423121989324307	0.0582098240272243	0.00811128685565965	1.47798170694773	0.493455366780657	0.288676862337221	0.399088356988448
"Otu034"	"Otu034"	801	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	0.317175756739985	0.68812976161219	0.663882642681229	0.37243947858473	0.855757051499892	0.126936596797292	0.111941969283124	0.186559597680172	0	0.624982992117413	0.116744319327553	0.390774016217855
"Otu035"	"Otu035"	624	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0.592980762600841	0.258048660604571	1.22068743976871	0.256052141527002	0.262596929160617	0.0488217679989585	0.00895535754264989	0.0243338605669789	1.06002786358956	0.3846049182261	0.210139774789595	0.30420705642992
"Otu036"	"Otu036"	614	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	0	0.0122880314573605	3.33012099796552	0.0232774674115456	0.00617875127436745	0.0520765525322224	0.00895535754264989	0.0121669302834895	1.62335695681144	0.292082036954727	0.306719166233298	0.298827188872478
"Otu037"	"Otu037"	570	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Howardella"	0.358546507619113	0.178176456131728	0.032123353678124	0.47951582867784	0.840310173313973	0.100898320531181	0.0582098240272243	0.113558015979235	0.0545157186988915	0.442658490788531	0.0859662715048343	0.278285876380425
"Otu038"	"Otu038"	561	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0.0413707508791285	0	2.71977727808116	0.0186219739292365	0.00617875127436745	0	0.00895535754264989	0.00811128685565965	1.75056030044218	0.241285160962601	0.310964414208845	0.273395087691841
