"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL10"	"CONTROL11"	"CONTROL12"	"CONTROL13"	"GOS10"	"GOS11"	"GOS12"	"GOS9"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	25324	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	51.9620253164557	22.8435920154271	45.6576791300462	7.34433209153805	9.3636663369601	10.9903381642512	18.2447817836812	24.5216657287563	36.5335653059493	15.7300099004135	25.6698261442546
"Otu002"	"Otu002"	12040	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4.54113924050633	11.6797831865325	12.9226873231044	20.4364023416711	9.33728981206726	14.6048999309869	32.1631878557875	4.26983680360158	10.4684715267759	13.7945761264147	12.205382938821
"Otu003"	"Otu003"	10406	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	11.0996835443038	6.58779381873143	0.305377625502756	22.4587546567323	17.9228486646884	8.51449275362319	18.7001897533207	11.2056837366348	6.64092336416872	14.1110011065168	10.5418419585382
"Otu004"	"Otu004"	8866	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4.65189873417722	20.6963047897014	9.01236406971548	8.56838744012773	5.04451038575668	8.16942719116632	8.16888045540797	2.52532357906584	12.58168547908	5.6917671267447	8.98372953520199
"Otu005"	"Otu005"	7069	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.14715189873418	4.6802522541304	0.134068225830478	16.6577967003725	8.05802835476426	33.1176673567978	1.66982922201139	3.22172200337648	2.91521683781719	11.0554617281075	7.16610066399716
"Otu006"	"Otu006"	5206	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	1.36075949367089	7.54677646323031	1.72054223149114	0.106439595529537	5.9874711506759	5.32263630089717	6.30929791271347	8.1809229037704	3.93151149961809	6.5090365538796	5.27751026407826
"Otu007"	"Otu007"	4184	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	7.27848101265823	1.5270756241205	3.76135855802175	11.9744544970729	5.92152983844379	4.05452035886819	4.77229601518027	2.59566685424873	4.12246456759739	4.34841690447072	4.24045820872827
"Otu008"	"Otu008"	3348	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	2.48417721518987	0.562881117423255	2.91225979442872	1.0111761575306	7.66897461259479	3.02795031055901	1.83111954459203	5.67670230725943	1.76525502843079	4.88032147224972	3.39196107253282
"Otu009"	"Otu009"	3166	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	1.45569620253165	3.55970188148225	5.21376433785193	1.91591271953167	2.16287504121332	1.80296756383713	2.9696394686907	5.01547552054024	3.40108631078673	3.03418554539631	3.2094885701252
"Otu010"	"Otu010"	2589	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.403481012658228	7.39042059727941	3.35170564576195	0.585417775412453	0.270359380151665	4.90855762594893	0.0094876660341556	0.330613393359595	4.09488245777816	1.27734746568827	2.62354909017183
"Otu011"	"Otu011"	2227	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	1.60601265822785	0.182415176942722	0.178757634440638	0.0532197977647685	0.633036597428289	0.15527950310559	0.0094876660341556	12.9572312886888	0.558007298650598	3.79904101877196	2.25049419636069
"Otu012"	"Otu012"	1675	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.625	0.594152290613436	6.21182779681216	3.35284725918042	0.890207715133531	1.78571428571429	0.939278937381404	1.01294316263365	2.31265382330476	1.13563566478365	1.69800800851538
"Otu013"	"Otu013"	1398	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	3.70253164556962	1.04758430187106	2.18233278712945	0.425758382118148	0.534124629080119	0.491718426501035	0.417457305502846	1.73044456949916	2.05804973266571	0.830858229961369	1.41720310203254
