"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	9203	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	3.62903225806452	1.34164286332554	0.398883127243718	35.2973056673893	17.2231563776123	9.02695439095724	8.8294529928301	17.915650052283	3.10385064177363	0.619195046439629	14.8411490535527	6.65512901195721	10.7759163622623
"Otu002"	"Otu002"	8602	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	5.81797235023041	2.18125162295508	7.3394495412844	12.4032208113967	14.7970213788134	16.7733775986088	12.7688713445581	26.3506448239805	6.58109684947491	0.961381782629949	8.8913725863217	10.9300548413198	9.52764831842801
"Otu003"	"Otu003"	6045	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.72811059907834	14.4724314030988	0.252625980587688	2.31495819139052	3.85539274561614	12.8369298869655	6.25956658342061	0.522830254444057	11.5052508751459	6.45266416816034	5.566917150195	8.31834936617819	6.97065121551833
"Otu004"	"Otu004"	5719	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	0.921658986175115	3.47961568423786	20.2765589682223	7.94363580055745	7.73480662983425	0.15809026954391	10.9401433980504	7.35447891251307	7.14119019836639	1.70278637770898	8.59174355559783	4.72894003416345	6.54994331779821
"Otu005"	"Otu005"	5668	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.91705069124424	1.70518480048472	8.40313788060099	2.2375348405079	0.660581311554168	9.77788317129081	16.0799162168694	0.243987452073893	11.2485414235706	5.74384878605182	2.95110815181204	9.95010338937337	6.52349162363018
"Otu006"	"Otu006"	4927	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.72811059907834	9.05392538734528	0.970615609626379	0.952307215856302	13.2116262310834	7.6910916133112	6.01788447595263	0.906239107703032	4.4340723453909	5.04318070718592	5.64063540378579	5.74260541220894	5.93399672502834
"Otu007"	"Otu007"	4034	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.51382488479263	2.5015147580715	1.39609094535301	0.100650356147414	3.44703338938266	12.2440913761758	4.88197857085314	1.5336354130359	18.8331388564761	2.21606648199446	1.79539617616285	7.3676166501843	4.00806146869883
"Otu008"	"Otu008"	3530	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	2.41935483870968	3.62676361118324	16.1414705491291	4.94735212139981	1.39322603891424	1.32795826416884	2.01401756223314	0.73196235622168	1.14352392065344	4.98614958448753	5.77855987824598	2.47235458059876	4.35823151530419
"Otu009"	"Otu009"	3446	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	2.99539170506912	2.83908941400502	4.45419492088818	4.60668937751626	4.40787893346145	3.62817168603272	5.53452026101668	11.850819100732	1.70361726954492	1.71093368095161	3.98791971844383	3.97599568461746	3.82038040055423
"Otu010"	"Otu010"	3060	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.036866359447	2.78715485155371	4.54726765057838	3.3756580984825	4.02354071582993	6.06276183700893	0.886167727382583	1.60334611362844	7.04784130688448	3.1122698386834	3.45524588604585	3.61188528274746	3.41604736112861
"Otu011"	"Otu011"	2829	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.15207373271889	9.88487838656626	0.132961042414573	0.727779498296686	9.7645928417007	1.2251995889653	0.789494884395392	0.801673056814221	3.87397899649942	2.50122209548639	4.94387900694378	1.68344870988043	3.32409623378259
"Otu012"	"Otu012"	2783	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.28341013824885	4.79529126633775	1.38279484111155	7.73459275317436	2.73840980062455	1.88917872104972	1.84484008700556	4.35691878703381	3.05717619603267	0.953234479387323	4.61809188623609	1.89022745662142	3.18302053155309
