"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL1"	"CONTROL2"	"CONTROL3"	"CONTROL4"	"GOS1"	"GOS2"	"GOS3"	"GOS4"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	22930	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	13.3792048929664	23.9149193200449	33.0164085262996	23.464670922298	67.85888671875	37.9107981220657	33.7036541293	15.6181167400881	25.2527448635721	34.5527834610804	29.1204185822052
"Otu002"	"Otu002"	13064	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	11.5252293577982	16.8996462162395	23.8307008127588	21.1093990755008	8.642578125	10.3286384976526	20.3988756525231	13.6357378854626	18.6694205891945	13.6714813570709	16.5908917731325
"Otu003"	"Otu003"	8509	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	10.5504587155963	16.0022435067737	14.9133568471093	11.3801452784504	1.57470703125	3.52112676056338	7.80350689332084	6.77312775330396	14.6168061745842	5.45393471157663	10.806177135455
"Otu004"	"Otu004"	5576	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	11.3340978593272	5.17732332384157	4.10979911056586	7.70416024653313	2.38037109375	13.4194053208138	4.49738990764289	13.9248348017621	5.82454614632025	8.84661190338046	7.08135429630947
"Otu005"	"Otu005"	4708	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	5.02675840978593	10.1000949175943	5.98067781015182	7.17587497248514	0.5126953125	1.01721439749609	2.85102395930933	4.90088105726872	8.06609414066746	3.0323388401991	5.9726702395164
"Otu006"	"Otu006"	2517	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	3.91819571865443	2.49805850375356	0.820426314982365	2.92758089368259	4.052734375	14.4366197183099	5.4611163164235	2.6431718061674	2.22632894879878	4.55919626225303	3.19651520154428
"Otu007"	"Otu007"	2425	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Actinobacillus"	1.07033639143731	1.25118646992838	0.927771814138936	2.04710543693595	1.3427734375	3.01251956181534	0.870030785704725	11.1026982378855	1.21752364387433	5.69517818426115	3.07967793553631
"Otu008"	"Otu008"	2237	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.03899082568807	1.17784105617396	3.71108725655574	4.68853180717587	0.6591796875	0.469483568075117	1.45897470218177	6.42208149779736	2.45461463202522	3.38351604727151	2.84092352238958
"Otu009"	"Otu009"	2113	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	10.1873088685015	4.35758046423332	0.621070387977304	2.81752146158926	0.7080078125	0.469483568075117	1.41881943514924	1.27340308370044	3.80910968583542	1.10239105872294	2.68344720733535
"Otu010"	"Otu010"	1566	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.24923547400612	1.55319699715247	1.93221898481828	2.04710543693595	0.03662109375	1.60406885758998	1.13773256592156	3.86839207048458	1.90238069355365	2.11011695727853	1.98877346270097
"Otu011"	"Otu011"	1399	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	0.95565749235474	2.10113038225904	1.73286305781322	1.32071318511996	3.466796875	1.05633802816901	2.16838441975639	0.70897577092511	1.78932492662246	1.75893975020613	1.77668842549084
"Otu012"	"Otu012"	1389	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0.324923547400612	3.70610061264993	0.0536727495782855	1.21065375302663	0.439453125	0.508607198748044	0.187391246151787	2.67070484581498	2.03935210348951	1.37722539469264	1.76398872266389
"Otu013"	"Otu013"	1194	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.363149847094801	1.69557338855812	1.44916423861371	0.924499229583975	2.42919921875	1.25195618153365	2.02114844063713	1.16327092511013	1.39797804109142	1.68259687910343	1.51634451753829
"Otu014"	"Otu014"	1087	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	8.62003058103976	1.24687203382518	0.230026069621224	0.484261501210654	0.0244140625	0	0.481863204390309	1.56938325991189	1.72192629633656	0.81228814853269	1.34362855909172
"Otu015"	"Otu015"	1009	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	0.496941896024465	2.13133143498145	1.15779788376016	0.572309046885318	1.50146484375	1.76056338028169	1.28496854504082	0.330396475770925	1.51538210675073	0.952759031361651	1.28140001523964
"Otu016"	"Otu016"	819	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Selenomonas"	0	1.34178962809561	0.276031283545469	2.79550957517059	1.89208984375	0.312989045383412	2.11484406371302	0.165198237885463	1.03054679856506	1.05353162121721	1.04010566152752
"Otu017"	"Otu017"	681	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4.28134556574923	0.931918198291483	1.15779788376016	0.61633281972265	0.0244140625	0.195618153364632	0.0535403560433677	0.351046255506608	1.34579845635395	0.189330320334687	0.864849762515557
"Otu018"	"Otu018"	523	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4.75917431192661	0.0302010527224092	0.299033890507591	0.50627338762932	0.03662109375	0	0.187391246151787	1.29405286343612	0.691379497771497	0.626011543042111	0.664194457849686
