"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	30320	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	8.02919708029197	13.9797564911251	3.18061964403428	23.1741427535481	27.0722707227072	29.8859965093394	16.0061562139284	7.61754662463882	16.0499721492799	17.3398878870343	18.4161897615661	17.9084433716693
"Otu002"	"Otu002"	21914	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	14.3020072992701	10.2244389027431	0.3295978905735	16.7858006146621	24.8492484924849	14.9021500984069	17.534216456879	8.90990281061203	5.51444258772977	14.5646530642957	11.5185181037283	12.9555350466184
"Otu003"	"Otu003"	17535	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	1.86283454987835	2.8213779277297	0.0659195781147001	0.821851583272903	1.4670146701467	2.32834490697761	15.7313252349805	40.1523509324928	20.5299594175221	1.53873164369647	18.2459598391775	10.3643097165034
"Otu004"	"Otu004"	8867	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	0.479014598540146	0.537871008752628	0.181278839815425	0.490348423633413	0.945009450094501	0.531026031415946	4.0290221513769	14.835828736538	18.8191294660619	0.540499868323698	9.44104109036745	5.24220265985139
"Otu005"	"Otu005"	6578	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	2.85888077858881	0.699232311378417	1.5820698747528	0.835664214924548	0.756007560075601	7.07044450220951	5.87588632990711	0.00525348043078539	10.5395082358558	1.18007047817309	6.29738719467808	3.88328837143263
"Otu006"	"Otu006"	6470	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	12.1426399026764	1.87765879419099	2.8345418589321	12.9458890155047	1.5660156601566	0.690705187715845	0.851976034738636	0.00525348043078539	0.194955040980345	7.6196686773429	0.437894076670661	3.82590278763784
"Otu007"	"Otu007"	5732	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.07968369829684	2.53288347758056	0.313117996044825	1.56082737663593	1.9530195301953	9.77756322180549	2.13268839663607	1.6180719726819	4.17362934670168	1.69047290603328	4.90306973827149	3.38752425576222
"Otu008"	"Otu008"	5148	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	2.16697080291971	4.37142438022591	2.27422544495715	0.338409475465313	1.9980199801998	2.04612128188941	5.82092013411752	3.75098502758077	4.69085700644545	2.0528962516146	3.92312775083715	3.04084433716693
"Otu009"	"Otu009"	3628	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	6.64537712895377	1.49625935162095	0.0988793671720501	3.19762422735592	5.66105661056611	2.57714731330536	0.0164898587368768	0.751247701602311	0.175061669451739	3.43737851293563	0.990021390733669	2.14456434284632
"Otu010"	"Otu010"	3448	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	1.23935523114355	2.94362133880984	0.0494396835860251	1.83017369384302	1.3860138601386	1.44453934420142	6.57395701643489	1.53926976622012	0.469483568075117	1.82089514804179	2.23538766505023	2.03985044251976
