"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	11459	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	15.2063833052018	4.8494983277592	11.1098020735156	16.7235494880546	24.8658882928369	9.94102780117944	22.0099502487562	21.6512702078522	1.80377152227385	12.1601667680014	16.4515896474659	12.9742204210289	15.6186902812445
"Otu002"	"Otu002"	9411	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	9.46754641706307	6.74470457079153	10.2379830348728	32.1046643913538	24.6344798569475	6.82392586352148	12.9751243781095	13.5536951501155	0.0683246788740093	0.894640840788674	17.7540672386033	5.69345941686367	13.4612632951239
"Otu003"	"Otu003"	6645	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.13794690808654	12.5975473801561	8.03487276154571	11.5358361774744	12.4855369727569	2.42207245155855	3.4228855721393	9.25230946882217	4.56408854878382	16.1903934682533	8.45408886646	8.79770347855454	9.01286188969618
"Otu004"	"Otu004"	5374	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	3.8821543655056	3.17725752508361	10.6621112158341	6.18885096700796	7.67855264541917	4.212299915754	12.2985074626866	11.2442263279446	5.27466520907352	5.57630504646921	6.58928700165814	7.38770685579196	6.68055136011701
"Otu005"	"Otu005"	5277	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	3.42949209759092	12.0958751393534	7.65786993402451	10.580204778157	5.49069106973809	6.9502948609941	10.6666666666667	9.22344110854503	1.20251434818256	7.9562233996352	6.64696128613654	7.06124057187887	7.23063959681394
"Otu006"	"Otu006"	4245	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4.74911769218966	13.6566332218506	0.341658812441093	0.625711035267349	0.704743872935732	22.620050547599	6.24875621890547	0.721709006928406	22.9434271658923	0.903326674194389	2.43914161439935	9.0650681076213	3.9857549404601
"Otu007"	"Otu007"	3591	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	6.44468313641246	10.8138238573021	2.72148916116871	0.762229806598407	4.50194593457452	9.01432181971356	7.82089552238806	1.09699769053118	9.5517901065865	2.03248501693738	4.2294475284166	5.15028706518068	4.47542886214407
"Otu008"	"Otu008"	3390	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	1.31195335276968	2.28539576365663	6.05560791705938	2.86689419795222	1.09393078784054	1.93765796124684	2.78606965174129	4.71997690531178	2.9106313200328	13.3414401111787	2.60014899190157	6.49555330406394	4.5310736259718
"Otu009"	"Otu009"	3383	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	23.3082706766917	2.67558528428094	0.388784165881244	0.068259385665529	0.220889870621647	0.29486099410278	0.0398009950248756	0.0288683602771363	0.0683246788740093	0.16503083470859	7.56013745704467	0.118203309692671	5.05731410674256
"Otu010"	"Otu010"	3254	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	8.55454963940463	1.78372352285396	4.88925541941565	0.0341296928327645	0.557483959187967	5.01263689974726	2.54726368159204	3.14665127020785	6.36786007105767	5.08989837574915	3.88820801191935	4.6043003489812	4.08591551535001
"Otu011"	"Otu011"	3245	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4.31947214976216	1.28205128205128	13.4189443920829	1.62684869169511	1.79867466077627	4.90732940185341	1.95024875621891	4.2580831408776	4.96037168625308	1.88482584904022	4.8999110854781	3.39412360688956	4.11294297206633
