"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	8174	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	1.04756998110939	0.0638637573177222	7.80834072759539	5.74917118136977	16.5105619768832	10.5964301262516	15.7351213782302	0.0931887495764148	5.13319672131148	6.75613432710828	9.24440455488865	8.07052200108647
"Otu002"	"Otu002"	5828	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	2.62751159196291	2.46939861628526	9.43507837917776	11.6438910002426	1.3949780789159	8.42838484980409	2.80931871574002	2.80413419179939	10.5020491803279	6.11757809228708	5.41874684467381	5.74843202133439
"Otu003"	"Otu003"	3714	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.532371629744118	6.42895156998403	1.69575076407375	2.70073582922293	0.488242327620566	3.14323030039182	2.77505873140172	9.58996950186378	4.67213114754098	2.4914161293024	4.70447448626615	3.66042767544076
"Otu004"	"Otu004"	2786	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	0.154559505409583	0.149015433741352	0.266193433895297	0.525592302094283	0.0597847748106815	0.21767522855899	12.3923257635082	0.711623178583531	0.0614754098360656	0.253328866929068	4.94942128980386	2.73396217097141
"Otu005"	"Otu005"	2729	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	0.120212948651898	1.23469930814263	2.34644582470669	1.30993773752729	0.159426066161817	3.73530692207227	7.219068128426	0.0254151135208404	2.87909836065574	1.12846495268403	4.091172565958	2.69346634401699
"Otu006"	"Otu006"	2545	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	17.9289026275116	0.989888238424694	9.36606526668639	1.50400258753133	1.71383021123954	0	0.00978856695379796	0	0.983606557377049	5.1189180135667	0.183242646921337	2.51172897427033
"Otu007"	"Otu007"	2523	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	0.171732783788425	2.4374667376264	2.12954747116238	3.99450149591655	0.189318453567158	4.56247279059643	2.93167580266249	2.3720772619451	1.05532786885246	2.02663093543254	2.81595332921972	2.44357746061534
"Otu008"	"Otu008"	2438	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.0171732783788425	0.319318786588611	2.81967859607611	2.62796151047142	0.219210840972499	9.31649978232477	0.76840250587314	1.9908505591325	3.18647540983607	1.39016832761075	3.31519605093398	2.40703244604672
"Otu009"	"Otu009"	1930	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.0858663918942126	0.723789249600851	1.05491471951099	1.87596021670575	3.61697887604623	2.71658685241619	2.35904463586531	1.21145374449339	2.21311475409836	1.62256092454568	2.15590583571736	1.90429156995407
"Otu010"	"Otu010"	1905	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.240425897303795	2.91644491750931	2.00138026224983	0.96223821460338	0.0896771622160223	0.0957771005659556	0.787979639780736	6.36225008471705	3.6577868852459	1.29595511263713	2.39337334754399	1.87564818015704
"Otu011"	"Otu011"	1845	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.103039670273055	0.649281532730176	2.01123927832002	1.15630306460742	0.209246711837385	2.51632564214192	1.76683633516053	2.9142663503897	4.23155737704918	0.910727744744996	2.63084085937062	1.81934910365944
"Otu012"	"Otu012"	1707	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.034346556757685	3.40606705694518	3.52952775313024	2.47432683755155	0.0597847748106815	0.348280365694384	0.76840250587314	2.1179261267367	2.73565573770492	2.07687798341847	1.33505357042688	1.68502148254235
"Otu013"	"Otu013"	1653	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	0.0171732783788425	1.16019159127195	0.374642610667455	0.711571116681491	0.239139099242726	4.56247279059643	1.83535630383712	0.830227041680786	0.338114754098361	0.544343019847584	1.9259176156018	1.27413699441948
"Otu014"	"Otu014"	1606	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0.394985402713378	3.90633315593401	2.23799664793454	1.21290531252527	0.149461937026704	2.82977797126687	1.36061080657792	1.49949169772958	0.430327868852459	1.63721631354158	1.5369944466259	1.58427576670453
"Otu015"	"Otu015"	1528	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	0	0.319318786588611	4.4168391994479	0.541764372927953	0.109605420486249	5.91205920766217	0.494322631166797	0	1.93647540983607	1.16405661167406	1.81185841700791	1.50624722208504
"Otu016"	"Otu016"	1395	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	2.26687274600721	9.12187333688132	0.246475401754905	1.48783051669766	0.0398565165404544	0.165433173704832	0.0293657008613939	1.25381226702813	0.204918032786885	2.51653965329537	0.360875825059367	1.37784581954664
