"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL10"	"CONTROL11"	"CONTROL12"	"CONTROL13"	"GOS10"	"GOS11"	"GOS12"	"GOS9"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	8218	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	11.2000771753811	6.88687190043979	7.85441811018698	8.60297894196199	12.1408655594618	0.803156263209807	7.25741780272654	15.663707113888	8.52739114917916	9.72382048331415	9.12797156187514
"Otu002"	"Otu002"	6511	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.337642292108817	0.79535884719753	5.09036332937277	0.0513610683102209	22.0390350345496	0.577708891080738	12.485966319166	3.71588293324564	2.09225553176303	12.3329202443126	7.2328371473006
"Otu003"	"Otu003"	3978	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	5.89426972795678	0.0374286516328249	9.09261459571009	11.517719568567	3.6671111649897	0.464985205016204	2.30954290296712	0.865943220431875	6.61581013561742	2.22404178100381	4.41124194623417
"Otu004"	"Otu004"	3934	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	2.30561450897164	3.69607934874146	2.11994246763805	4.36569080636877	6.67353618620439	0.112723686064534	3.00721732157177	12.4630055902664	2.92871163454675	5.80021244578207	4.3701399688958
"Otu005"	"Otu005"	3788	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	8.54717345166892	18.5739683727894	1.8135201050591	4.35285053929122	0.109104133834404	1.49358884035508	0.384923817161187	1.2605502575907	7.80692362598144	0.635124369301584	4.20684292379471
"Otu006"	"Otu006"	3659	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	12.5409994211846	6.32544212594741	0.575323619535989	0.898818695428865	4.35810401260759	0.211356911371002	4.15396952686447	2.94859147210347	4.76891506067095	3.36593785960875	4.064652299489
"Otu007"	"Otu007"	3230	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	0.038587690526722	1.16028820061757	1.53211181289475	0.141242937853107	0.0545520669172021	12.24461039876	14.803528468324	1.33727940370492	0.856531049250535	6.29813224749934	3.5880915352144
"Otu008"	"Otu008"	2520	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	4.31217441636118	5.14643959951343	2.80782940403977	8.02516692347201	0.0909201115286701	1.94448358461322	1.72413793103448	0.876904527019621	4.61946823697359	0.991413649641498	2.79826705176627
"Otu009"	"Otu009"	2040	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	6.94578429480996	0.00935716290820623	4.35244825214183	2.33692860811505	1.01830524912111	0.0422713822742004	1.61988773055333	0.734407541378932	3.56664882226981	0.973709834469328	2.26505221061986
"Otu010"	"Otu010"	1757	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.955045340536369	0.626929914849818	3.30185729472828	0.860297894196199	5.3461025578858	0.0281809215161336	0.160384923817161	1.00844020607256	1.69744825124911	2.20412498893512	1.95178849144635
"Otu011"	"Otu011"	1580	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Paraprevotella"	0.0771753810534439	0.205857583980537	1.53836533049841	0.243965074473549	1.22439083525276	10.8214738621953	2.35765838011227	0.23018743834265	0.658012134189864	2.84367531202974	1.75516551877361
"Otu012"	"Otu012"	1480	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.906810727377966	1.56264620567044	3.62078669251454	2.2085259373395	2.10328524669657	0.0704523037903339	0.553327987169206	0.504220103036282	2.25731620271235	1.0334602106754	1.64296822928238
"Otu013"	"Otu013"	1224	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.35056916843527	0.140357443623093	3.07047714339316	1.66923472008218	0.157594859983028	0.0563618430322672	2.91098636728148	0.559026635975008	1.73090649536046	0.982561742055413	1.3552543879138
"Otu014"	"Otu014"	1204	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	1.85220914528265	0.533358285767755	3.75211056219123	3.2100667693888	0.290944356891744	0.267718754403269	0.144346431435445	0.219226131754905	2.45137401855817	0.232362574134726	1.33748055987558
"Otu015"	"Otu015"	1192	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonadaceae_unclassified"	0.154350762106888	1.30064564424067	2.27628040772935	0.346687211093991	0.175778882288762	2.08538819219388	2.485966319166	1.7428477474515	1.2178800856531	1.4295830751527	1.32415018884692
"Otu016"	"Otu016"	1178	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.3955238278989	0.327500701787218	0.938027640547808	2.19568567026194	1.56382591829313	1.00042271382274	2.22935044105854	1.85246081332895	0.885528194147038	1.71727007170045	1.30304376805154
"Otu017"	"Otu017"	1111	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	5.65309666216477	0	2.52016759427178	1.51515151515152	0.00606134076857801	0.0422713822742004	0	0	2.46921841541756	0.0088519075860848	1.23417018440347
"Otu018"	"Otu018"	1077	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.443758441057303	0.0374286516328249	4.59633543868426	2.15716486902928	0.0727360892229361	0.0140904607580668	0.649558941459503	0.328839197632358	2.12571377587438	0.274409135168629	1.19640079982226
"Otu019"	"Otu019"	1056	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	5.82674126953502	0.00935716290820623	0.0250140704146082	3.64663585002568	0.12122681537156	0.0563618430322672	0.400962309542903	0.975556286309328	1.99188079942898	0.360715234132956	1.17307265052211
"Otu020"	"Otu020"	1045	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	0.0289407678950415	0.271357724337981	0.687886936401726	0.128402670775552	0.248514971511698	3.33943919966183	4.17802726543705	1.03036281924805	0.339043540328337	1.97618836859343	1.16085314374583
"Otu021"	"Otu021"	1020	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	1.9293845263361	0.701787218115467	0.712901006816334	0.808936825885978	1.71535943750758	0.0704523037903339	2.18123496391339	0.0876904527019621	1.00820842255532	1.25697087722404	1.13308153743613
"Otu022"	"Otu022"	954	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.347289214740498	0	4.30867362891627	0.783256291730868	0.369741786883259	0	0.433039294306335	0.580949249150499	1.75321199143469	0.371780118615562	1.05976449677849
"Otu023"	"Otu023"	930	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	0.694578429480996	0.477215308318518	0.287661809767994	0.0642013353877761	0.290944356891744	9.35606594335635	0.216519647153168	0.186342211991669	0.388115631691649	1.67301053377003	1.03310375472117
"Otu024"	"Otu024"	871	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Peptostreptococcaceae_unclassified"	0.115763071580166	0.187143258164125	0.18135201050591	0.154083204930663	0.393987149957571	1.49358884035508	4.89174017642342	0.186342211991669	0.162830121341899	1.76595556342392	0.96756276383026
"Otu025"	"Otu025"	781	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0.212232297896971	0.0748573032656499	0.844224876493027	0.564971751412429	1.21832949448418	0.0704523037903339	1.86848436246993	1.45785377617012	0.466184867951463	1.26582278481013	0.867584981115308
"Otu026"	"Otu026"	755	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.97433918579973	2.44221951904183	0	1.32254750898819	1.37592435446721	0.0281809215161336	0.400962309542903	0.120574372465198	1.03720556745182	0.641763299991148	0.83870251055321
"Otu027"	"Otu027"	675	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	1.03222072158981	2.77907738373725	0.27515477456069	1.07858243451464	0.266698993817432	0.112723686064534	0.280673616680032	0.613833168913735	1.18665239114918	0.316455696202532	0.749833370362142
"Otu028"	"Otu028"	638	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Fusicatenibacter"	0.250819988423693	0.159071769439506	0.100056281658433	0.706214689265537	2.48514971511698	0.0281809215161336	0.769847634322374	0.175380905403924	0.254282655246253	1.15959989377711	0.708731393023773
"Otu029"	"Otu029"	628	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae_1"	"Peptococcus"	1.20586532896006	0.729858706840086	1.08811206303546	0.205444273240883	0.515213965329131	0.239537832887135	0.376904570970329	0.942672366546092	0.876605995717345	0.520049570682482	0.697622750499889
"Otu030"	"Otu030"	583	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	0.00964692263168049	0	0	0	0.0363680446114681	7.87656756375933	0.136327185244587	0	0.00223054960742327	1.28795255377534	0.647633859142413
"Otu031"	"Otu031"	552	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia_unclassified"	"Clostridia_unclassified"	"Clostridia_unclassified"	0.038587690526722	0.374286516328249	0.0312675880182603	0.0256805341551104	0.666747484543581	4.73439481471044	0.192461908580593	0.339800504220103	0.113758029978587	1.10870142515712	0.613197067318374
"Otu032"	"Otu032"	511	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0.694578429480996	0.832787498830355	0.0125070352073041	0.706214689265537	0.963753182203903	0	0.112269446672013	1.31535679052943	0.486259814418273	0.648402230680712	0.567651632970451
"Otu033"	"Otu033"	507	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	0.00964692263168049	0.00935716290820623	0.256394221749734	0.0128402670775552	0.0363680446114681	4.60758066788784	0.986367281475541	0.0767291461142168	0.0981441827266238	1.02460830308932	0.563208175960898
"Otu034"	"Otu034"	494	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	1.49527300791048	0.0561429774492374	0.462760302670252	0.667693888032871	0.139410837677294	0.0704523037903339	0.296712109061748	1.53458292228434	0.640167737330478	0.453660263786846	0.546545212175072
"Otu035"	"Otu035"	487	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.019293845263361	0.159071769439506	0.268901256957038	0.0128402670775552	1.4607831252273	0.140904607580668	0.400962309542903	1.34824071029267	0.140524625267666	0.938302204124989	0.54099089091313
"Otu036"	"Otu036"	480	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVa"	0	0.0187143258164125	0.606591207554249	0	1.13347072372409	0	1.0906174819567	0.635755782089225	0.220824411134904	0.843144197574577	0.533214841146412
"Otu037"	"Otu037"	475	"Bacteria"	"Bacteroidetes"	"Bacteroidetes_unclassified"	"Bacteroidetes_unclassified"	"Bacteroidetes_unclassified"	"Bacteroidetes_unclassified"	0.00964692263168049	0.851501824646767	2.138703020449	0.359527478171546	0	0	0	0.142496985640688	1.03051391862955	0.0287686996547756	0.52766051988447
"Otu038"	"Otu038"	470	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_unclassified"	"Clostridiales_unclassified"	0.241173065792012	0.336857864695424	0.375211056219123	0.205444273240883	0.97587586374106	2.40946878962942	0.00801924619085806	0	0.305585296216988	0.73692130654156	0.522106198622528
