"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	3362	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	2.05679201841903	3.05112293144208	3.13216195569137	8.78350515463917	7.011116725619	0.681699003670687	7.50866384289565	6.34676752156955	11.5338882282996	1.10079861860566	4.44642997923948	6.6317002423809	4.13435049798686
"Otu002"	"Otu002"	3105	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	23.0237912509593	2.09072104018913	10.7142857142857	1.21649484536082	1.33906013137948	8.33770319874148	0.0770119368502118	0.330930150100461	0.356718192627824	3.99309302827542	6.59343547157911	1.5933563793857	6.05001059546514
"Otu003"	"Otu003"	2694	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Mucispirillum"	9.30161166538757	14.2361111111111	0.114591291061879	0.309278350515464	0.555836280949975	0	0.269541778975741	0.0590946696607966	1.1097899326199	0	6.82731979081807	0.38145190129932	5.52023733841916
"Otu004"	"Otu004"	2098	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	3.92939370683039	2.69651300236407	11.9174942704354	2.74226804123711	0.492673067205659	2.25485055060304	0.269541778975741	2.4110625221605	0.56810675122209	8.13727606302612	3.7237537119281	2.67811022370565	3.90760754397118
"Otu005"	"Otu005"	2093	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	1.08979278587874	3.70862884160757	1.22230710466005	2.41237113402062	2.3244062657908	0.10487676979549	4.81324605313824	5.72036402316511	4.20134760206104	4.85646449384848	2.46498304995664	4.58536973020225	2.73363000635728
"Otu006"	"Otu006"	2029	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.890253261703761	4.57299054373522	1.37509549274255	2.16494845360825	0.821121778676099	6.92186680650236	3.31151328455911	6.00401843753693	3.26331087329898	2.7627886898338	2.41505268966967	4.37477649302658	2.68065268065268
"Otu007"	"Otu007"	2018	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.9447429009977	5.16400709219858	4.12528647822765	1.17525773195876	0.644264780192016	15.3644467750393	1.27069695802849	0.650041366268763	1.71753203857841	4.89963306712713	3.36372953512207	2.93241149123853	3.88429752066116
"Otu008"	"Otu008"	2010	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.44512663085188	0.650118203309693	2.29182582123759	1.71134020618557	8.29964628600303	0.839014158363922	7.66268771659607	3.46294764212268	3.95032368873035	4.8780487804878	2.56747168422989	4.1045813962729	3.00487391396482
"Otu009"	"Otu009"	1804	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Treponema"	0.168841135840368	9.82565011820331	1.4514896867838	0.639175257731959	4.49722081859525	0	0	0	0	0	4.74075631356266	0	3.82284382284382
"Otu010"	"Otu010"	1700	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	0.844205679201842	11.9754728132388	0.381970970206264	0	0	0	0.0770119368502118	0.0118189339321593	0.0132117849121416	0	4.45694163403674	0.015893829220805	3.59821996185633
