	CAC	CDC	CWC	GCCC	GCMVC	CAG	CDG	CWG	GCCG	GCMCD
Trial1	13321.96149	259.953178	55.506558	46	3.375397092	14197.59758	225.500496	63.587206	60	4.226067097
Trial1	9574.060424	212.902745	58.388151	37	3.864608992	14551.13253	246.567667	49.530807	37	2.542757406
Trial1	10181.15659	198.871343	54.817961	24	2.357296029	12400	249.402086	38.657405	53	4.274193548
Trial1	9549.226887	215.151851	52.093276	28	2.569558638	18004.34547	267.74108	93.011296	50	2.777107342
Trial1	9144.259943	224.754196	50.3294	39	4.083391342	14867.84096	203.207843	85.849649	41	2.757629713
Trial1	7154.989347	182.922025	41.422102	27	3.711458124	14340.73144	279.27062	47.702038	42	2.928720908
Trial1	7270.693866	187.542845	42.697854	24	3.159089416	15006.92897	214.488312	61.492907	65	4.331332557
Trial1	7560.848176	223.904755	41.052446	25	3.00406334	20158.0448	278.908774	91.387077	70	3.472559006
Trial1	13641.03542	258.39353	68.464842	28	1.996918554	14367.37233	225.664527	83.571011	44	3.062494589
Trial1	13296.60517	246.537718	50.608419	33	2.481836497	15414.27278	299.732851	43.44592	34	2.205747912
Trial1	20060.47001	293.428635	67.263714	46	2.293066912	25821.96737	422.497799	72.82829	53	2.052515955
Trial1	15612.99865	254.770769	78.257942	36	2.305771032	14385.67356	290.456026	50.664322	49	3.406166544
Trial1	18604.25852	255.510908	70.483468	43	2.31129878	16291.54678	287.028744	57.838423	42	2.578024086
Trial1	11559.27555	255.591805	50.159817	28	2.422297132	19618.16648	383.777323	53.776148	56	2.854497134
Trial1	9204.760734	243.30462	40.373828	27	2.933264729	21890.45016	385.050726	56.661652	51	2.329783062
Trial1	12354.16803	261.156079	49.627488	30	2.428330255	23484.97528	369.903627	63.114641	63	2.682566162
Trial1	9637.250067	203.052171	51.409129	34	3.527977355	18095.09001	351.949297	46.621106	34	1.878962745
Trial1	15440.50397	288.109773	53.860064	35	2.266765391	14892.44578	318.973326	47.559433	35	2.350184819
Trial1	7819.294557	198.790119	31.788558	22	2.813553044	18131.95214	364.734763	50.715887	51	2.812714242
Trial1	11034.53032	218.804737	56.338562	34	3.08123672	17320.77237	351.268534	45.045982	22	1.270151211
Trial1	13714.59045	342.401881	36.082545	53	3.864497462	17018.01992	248.986828	68.355442	50	2.938062139
Trial1	14258.13452	279.951477	53.635903	42	2.945686895	13143.94089	226.154562	69.559717	49	3.727953465
Trial1	11270.26167	287.852334	40.090631	51	4.52518331	12137.61247	224.421288	62.209628	40	3.295541039
Trial1	13458.16468	305.23619	37.035093	41	3.046477805	17993.48051	257.085833	75.116102	49	2.723208552
Trial1	14154.85414	276.455646	39.621763	55	3.885592847	16832.24381	274.667161	61.741358	43	2.554620791
Trial1	11824.11304	283.138008	41.718593	42	3.55206347	12477.505	251.498861	53.542233	48	3.846922923
Trial1	13520.32756	324.020499	40.936088	54	3.993986074	11594.89375	207.081137	57.459367	44	3.794773885
Trial1	11433.65143	324.742545	32.919285	50	4.373056176	17013.10897	313.660027	55.937369	42	2.468684593
Trial1	12428.40689	308.606363	40.917943	52	4.183963438	16028.12104	238.546353	70.81488	47	2.93234621
Trial1	14148.12321	324.975861	38.209044	44	3.109953127	9994.052982	252.446077	41.656708	42	4.202499234
Trial1	11405.6101	244.187102	45.827488	34	2.980989153	15895.28923	304.72633	53.969528	47	2.956850884
Trial1	13538.90695	265.903685	50.650179	33	2.437419809	16199.95825	246.663459	62.336	55	3.395070477
Trial1	15036.94486	258.704823	57.836791	37	2.460606217	14239.18368	297.529713	48.945532	44	3.090064782
Trial1	14936.75675	229.323875	70.457305	31	2.075417075	17300.26212	376.20253	47.225537	50	2.890129621
Trial1	10616.47671	230.314375	36.784973	36	3.390955491	20863.58901	376.253507	67.038297	62	2.971684305
Trial1	11024.09806	236.077978	54.387987	27	2.449179956	15101.40585	322.694894	44.681766	57	3.774483022
Trial1	15378.88639	284.494578	57.738038	37	2.405895919	18077.76395	317.445899	62.099044	61	3.374311124
Trial1	12065.64429	255.217187	53.015482	40	3.315198014	15624.16811	382.332879	38.154088	46	2.94415675
Trial1	17567.81116	321.728466	59.570059	32	1.821513204	12288.02625	288.52758	51.583659	46	3.743481586
Trial1	13538.12695	283.056041	49.377917	36	2.659156628	18017.44082	290.853197	77.967375	36	1.998064007
Trial2	29258.50478	430.139169	65.945753	55	1.879795308	28665.21396	326.157476	91.000237	67	2.337327748
Trial2	26276.22815	389.871413	79.880618	64	2.435661604	26123.91591	409.982529	71.293064	44	1.684280418
Trial2	23737.67619	367.082024	61.385555	49	2.064229018	25883.04327	320.403512	85.466985	46	1.777225325
Trial2	19238.65291	338.966201	58.315828	41	2.131126342	28139.79885	329.429884	87.906189	47	1.670232266
Trial2	22179.79295	340.597142	61.005362	58	2.614992851	29129.4679	293.804074	100.412098	46	1.579156892
Trial2	26095.12425	352.064445	79.17794	63	2.414244109	23074.43095	307.932386	75.736924	60	2.60028081
Trial2	26874.39883	358.094355	81.709826	38	1.413985118	11693.8882	278.062383	50.353969	42	3.591619766
Trial2	28675.50963	363.783109	77.65642	47	1.639029284	24373.36981	351.931482	65.842981	37	1.518050245
Trial2	23006.47159	339.786557	72.180336	38	1.651709166	26757.95858	438.477149	61.336563	77	2.877648524
Trial2	19719.15314	348.967787	64.254087	42	2.129908912	25566.30323	348.69002	83.344667	76	2.972662857
Trial2	6694.194212	335.19219	18.137346	16	2.390130835	24826.86108	404.326043	68.604403	42	1.691716076
Trial2	13931.3352	223.34382	66.40498	16	1.14849006	23119.51155	344.203444	72.734902	46	1.989661412
Trial2	22221.71402	312.522411	70.412804	26	1.170026757	22292.93815	444.054995	64.357253	75	3.364294087
Trial2	23305.00093	371.920144	68.618552	21	0.90109415	25384.78326	429.623023	55.623991	52	2.048471302
Trial2	21700.75187	343.126073	68.408065	18	0.829464348	28018.28275	485.455925	53.507837	63	2.248531809
Trial2	19962.9941	280.076824	90.842971	28	1.402595215	19454.10794	363.072405	66.869266	52	2.672957309
Trial2	25938.36737	313.877669	81.10794	34	1.310799539	28020.95902	364.684926	71.915308	93	3.318944221
Trial2	14763.37495	287.775774	70.863015	23	1.557909359	18878.7363	310.785154	44.365174	55	2.913330592
Trial2	20404.08877	301.867216	77.192611	23	1.127225051	27439.11174	373.953115	82.424436	60	2.186659706
Trial2	28134.13068	337.780158	74.579184	28	0.995232457	16884.7914	333.456133	44.864083	69	4.086517765
Trial2	15349.45674	332.202813	48.681985	28	1.824168795	10931.46439	220.696645	46.396267	28	2.561413458
Trial2	21969.22578	389.133164	62.098754	42	1.91176514	18683.36441	351.069623	50.904936	24	1.284565214
Trial2	25233.18708	370.026452	67.9448	35	1.387062201	14787.94151	310.93749	61.33287	42	2.840151888
Trial2	19065.36836	324.880684	58.558564	39	2.045593836	16656.67163	387.486516	41.322076	25	1.500900094
Trial2	31360.28813	395.718909	86.421979	66	2.1045725	20985.17169	430.932811	43.295336	37	1.76314974
Trial2	22045.96416	381.594979	62.566691	39	1.769031271	22920.15424	474.96596	47.796723	38	1.657929506
Trial2	27540.6009	383.383882	73.986759	48	1.742881362	19352.93227	398.165994	60.181179	34	1.756839714
Trial2	21505.93713	330.524348	60.292418	39	1.813452711	24402.5896	427.09994	51.464352	58	2.376796929
Trial2	18388.55226	369.485706	51.187019	40	2.175266406	19334.69823	416.476818	52.279953	31	1.603335083
Trial2	17704.6833	414.92082	45.752421	37	2.089842522	21669.24854	400.201072	60.744114	38	1.753637185
Trial2	16148.71932	378.881839	42.083632	41	2.538901023	29300.11262	389.326595	75.285531	69	2.354939754
Trial2	16454.49866	289.722587	64.011122	45	2.734814408	31389.46945	465.180515	68.672244	67	2.134473796
Trial2	15797.14039	365.571383	47.199595	37	2.342196061	23564.6535	310.973824	82.147312	39	1.655021152
Trial2	17666.86111	299.444703	69.295944	49	2.773554379	32730.22002	431.637967	79.569056	64	1.955379461
Trial2	16676.2938	282.516754	63.756249	39	2.33864913	29390.46098	415.175496	76.919633	68	2.313675857
Trial2	17870.07053	343.459759	52.866454	53	2.965852872	25783.55582	452.363482	50.636297	57	2.21071137
Trial2	19314.78683	337.263534	55.708024	43	2.226273599	27801.28917	364.432851	78.007559	57	2.050264635
Trial2	15524.74984	307.079313	53.545376	30	1.932398287	25806.69178	427.767847	66.207719	38	1.472486297
Trial2	20981.7198	314.825129	74.853965	60	2.859632126	29677.01037	463.692226	58.710247	30	1.010883496
Trial2	24772.04042	352.263373	61.323652	42	1.695459853	31478.62382	434.735246	76.574747	64	2.033125729
Trial2	25037.41663	375.999556	71.321097	49	1.95707092	13718.19187	277.454136	46.460198	51	3.717691114
Trial2	26752.91239	355.373767	84.5499	49	1.831576289	14209.06341	224.000229	51.587143	55	3.870768849
Trial2	31431.69275	485.232394	56.671344	80	2.54520177	10068.89638	177.03479	45.877181	39	3.873314266
Trial2	15716.10898	279.501004	54.373853	32	2.036127393	12861.27773	216.09551	56.143045	41	3.187863669
Trial2	20949.14087	285.194717	76.662293	34	1.622978251	12231.48971	233.813794	52.712358	41	3.352003802
Trial2	28441.31952	377.043911	71.792444	53	1.863485974	14180.47587	227.145914	53.414098	35	2.468182332
Trial2	22498.38237	380.105935	69.041047	46	2.044591439	16337.47713	289.176679	47.064434	41	2.5095674
Trial2	15399.46488	263.135642	60.61487	31	2.013056963	10066.36066	202.361116	46.011141	53	5.265060712
Trial2	17908.45377	301.28733	62.38173	29	1.61934695	10526.60814	194.665881	46.716579	35	3.324907655
Trial2	28745.02157	460.313235	58.547178	56	1.948163436	12456.12428	209.408314	42.076927	42	3.371835338
Trial3	19931.11619	287.75179	66.577165	39	1.956739383	23145.49024	317.070316	56.472078	65	2.808322456
Trial3	20281.781	293.020765	68.10073	33	1.627076044	22107.97286	286.265349	71.168641	49	2.216394977
Trial3	14435.6576	253.832897	61.80386	28	1.939641461	15548.18675	315.739696	55.037736	40	2.572647257
Trial3	17055.80789	275.572929	64.794704	48	2.814290611	19472.05751	302.06528	64.970633	49	2.516426422
Trial3	18831.36583	289.681149	69.534801	27	1.433778104	24345.85682	348.89493	66.68831	44	1.807289032
Trial3	13798.41475	236.872461	59.012479	26	1.884274424	19557.68316	343.806116	63.844817	51	2.607670836
Trial3	13850.73951	254.264424	48.902332	28	2.021552711	15000.07696	244.362469	61.556009	41	2.73331931
Trial3	13401.78983	286.698545	45.492328	33	2.462357672	19619.10156	372.923052	58.72595	49	2.497565949
Trial3	15425.45208	296.45757	56.001413	51	3.306224009	19499.01577	319.028724	56.206782	40	2.051385592
Trial3	13743.01023	262.528333	47.930632	38	2.765041964	17951.20223	271.437094	64.61825	47	2.618209043
Trial3	23005.61277	327.69843	65.264245	57	2.477656238	47394.89032	514.67664	92.356876	86	1.814541598
Trial3	21296.77657	334.369482	64.535946	43	2.019084901	40953.43452	490.126806	67.52499	80	1.953438117
Trial3	26844.37459	328.940903	82.921937	64	2.384112164	26062.97213	474.160614	52.3617	62	2.378853789
Trial3	23778.61688	418.209865	59.491025	65	2.733548394	29354.33816	474.115923	64.612142	51	1.737392263
Trial3	16035.44308	282.14692	49.724311	28	1.746131982	33591.19386	489.869028	68.520347	41	1.220557988
Trial3	28038.80304	330.197131	86.373278	50	1.783243027	22677.57839	449.416008	48.349931	79	3.483617106
Trial3	27558.78712	252.631305	98.052502	39	1.415156619	21658.94862	262.800695	91.885437	38	1.754471128
Trial3	23849.13074	272.287896	90.833743	38	1.593349478	26631.74474	368.523664	83.492659	43	1.614614454
Trial3	12549.77865	260.692932	53.372784	31	2.47016309	25069.55441	358.90462	77.921808	59	2.35345228
Trial3	22136.69507	322.218925	70.413164	31	1.400389711	42616.90527	480.89755	89.963113	45	1.055919
Trial3	18866.37042	308.96817	54.648355	37	1.961161537	15283.86527	272.241336	59.120783	40	2.617139009
Trial3	18794.84517	346.879888	46.360097	28	1.489770187	16183.13664	185.590459	61.617901	48	2.966050467
Trial3	13947.21615	257.489994	56.645808	21	1.505676815	20928.65157	342.648285	62.917982	43	2.054599641
Trial3	20340.31358	327.129475	57.290548	33	1.622393867	12700	202.817984	53.846785	36	2.834645669
Trial3	16765.66164	319.943952	51.64216	22	1.312205893	20409.8373	368.436691	60.473522	60	2.939758858
Trial3	12518.7805	231.311869	49.800659	27	2.156759597	18689.81428	287.448028	63.111677	31	1.658657466
Trial3	17395.33314	277.04654	54.829676	28	1.609627121	9771.658542	215.036816	47.850754	31	3.172439957
Trial3	18049.4167	347.844041	50.539226	27	1.495893216	12417.36413	249.206019	57.132288	50	4.026619456
Trial3	18329.97639	334.726529	37.257	27	1.472996988	19198.44284	300.059835	64.522469	36	1.875152079
Trial3	20425.26461	354.210002	48.861967	39	1.909399988	13229.09346	195.832212	77.229552	38	2.872456841
Trial3	30070.09831	377.856869	70.378943	69	2.294638324	22330.13058	322.299141	71.121379	62	2.776517575
Trial3	21949.27504	332.799784	66.806648	43	1.959062425	22860.46311	371.324241	64.329177	48	2.099694997
Trial3	18538.1572	354.208793	50.513748	50	2.697139713	23914.88283	475.991204	47.05134	51	2.13256324
Trial3	29280.76383	376.050173	75.033524	74	2.527256476	26128.42224	385.227266	74.616928	67	2.564257397
Trial3	21156.55035	340.273021	59.795876	60	2.836001097	25383.89808	398.537094	72.53771	47	1.851567472
Trial3	18453.83492	367.570017	57.596998	45	2.438517533	12989.33362	261.870462	46.11908	23	1.770683599
