Group	CAC	CDC	CWC	GCCC	GCMCC	CAG	CDG	CWG	GCCG	GCMCG	GCMCG
Trial1	13992.25711	268.176743	54.894829	46	3.2875325	11989.93783	193.395741	51.575482	57	4.753986286	4.753986286
Trial1	10351.27529	278.765644	26.968608	32	3.091406528	12926.66792	345.610551	38.648586	46	3.558534982	3.558534982
Trial1	9965.028374	216.114657	51.475631	30	3.010528307	10680.34567	199.148999	46.889775	51	4.775126347	4.775126347
Trial1	11397.85782	222.147782	51.637449	40	3.50943139	11067.28646	220.709845	45.645328	50	4.517819266	4.517819266
Trial1	14735.57746	302.149563	51.637449	29	1.968026029	11741.15015	252.073186	38.58337	61	5.195402427	5.195402427
Trial1	11321.29437	290.123578	35.482014	23	2.031569823	13955.23617	271.185384	50.112109	73	5.231011435	5.231011435
Trial1	16019.52638	316.051727	61.29857	22	1.373323997	14394.62479	311.617538	46.70276	69	4.79345596	4.79345596
Trial1	12129.28914	298	40.6	21	1.731346311	9671.190902	241.78503	45.013615	45	4.652994699	4.652994699
Trial1	15846.34711	272.004666	59.422394	30	1.893180794	13336.27787	289.082631	42.683941	52	3.899138914	3.899138914
Trial1	14216.21175	296.711691	42.209025	40	2.813689098	9827.103684	255.673015	39.860698	49	4.986209729	4.986209729
Trial1	14857.05029	283.546393	56.832069	53	3.567329919	19360.73436	315.89389	61.858659	63	3.254008802	3.254008802
Trial1	16221.19954	282.027201	68.197327	48	2.959090657	20396.53882	325.658196	67.039498	48	2.353340458	2.353340458
Trial1	12033.39208	270.128357	50.612177	41	3.407185582	27167.21803	414.625266	69.343613	83	3.055152718	3.055152718
Trial1	18220.09677	322.017103	59.027469	49	2.689338077	23249.97766	339.670412	74.767957	84	3.612906697	3.612906697
Trial1	13626.2625	258.779963	65.419608	42	3.082283201	19547.54999	249.409514	61.782753	55	2.81365184	2.81365184
Trial1	11588.07754	289.112203	40.544116	44	3.797006006	14905.78108	330.923105	46.44275	43	2.884786766	2.884786766
Trial1	15457.47332	349.574494	50.387556	45	2.911213176	13178.93682	283.554241	48.02109	47	3.566296785	3.566296785
Trial1	10882.45601	220.473501	49.029553	31	2.848621669	17644.60079	302.416546	55.802767	63	3.57049733	3.57049733
Trial1	15096.53896	347.206918	48.713451	53	3.510738465	12959.75797	262.479247	59.349014	55	4.243906417	4.243906417
Trial1	13179.05474	239.718852	63.429891	50	3.793898803	17079.16033	237.770208	73.587563	57	3.337400605	3.337400605
Trial1	11617.29986	332.149947	40.725536	48	4.13176905	9369.388542	251.160988	38.635149	34	3.628838728	3.628838728
Trial1	9826.8268	283.919278	33.593996	43	4.375776726	9221.954578	257.741684	35.936926	48	5.204970334	5.204970334
Trial1	11726.66733	276.356917	40.665444	34	2.899374481	9534.917132	248.405034	41.152797	40	4.195107251	4.195107251
Trial1	10811.76961	272.660368	33.363047	44	4.06963907	16308.70845	370.96936	46.070977	35	2.146092691	2.146092691
Trial1	12482.56486	276.360185	47.782593	49	3.925475296	12385.28022	343.190019	37.035465	38	3.068158275	3.068158275
Trial1	13520.26782	314.930357	51.397953	46	3.402299467	10769.344	277.512869	39.706429	38	3.528534329	3.528534329
Trial1	12467.88385	278.379658	50.589751	39	3.128036841	8663.934995	235.735786	40.794587	44	5.078523791	5.078523791
